6693408
/m/0ghm56
/m/0ghm56
Ben Jonson
1609
a 6
actually 1
agreement 1
an 3
and 7
are 2
arranged 1
as 2
assortment 1
bear 1
boy 1
bride 1
but 1
by 3
can 1
characters 1
charivari 1
claimed 1
clerimont 1
collegiates 1
come 1
comprises 1
consults 1
costume 1
couple 1
dauphine 7
daw 2
day 1
desperate 1
despite 1
discomfited 1
disguise 1
disinherit 1
dismissed 1
divorce 1
does 1
end 1
ending 1
epicne 4
exceptionally 1
exchange 1
fact 1
female 1
finally 1
financial 1
find 1
foole 2
for 5
friend 1
from 1
grounds 2
had 1
harshly 1
has 2
hatred 1
have 1
he 2
herself 1
him 1
his 6
house 1
in 4
instance 1
intellectual 1
interference 1
invaded 1
is 4
knights 1
know 1
la 1
lawyers 1
london 1
loud 1
ludicrous 1
made 2
man 1
marriage 1
married 1
marrying 1
match 2
mate 1
men 1
morose 6
must 1
nagging 1
named 1
nephew 1
no 1
noise 1
not 1
obsessive 1
of 4
old 1
other 1
otter 1
own 1
place 1
plans 1
play 1
pretensions 1
promises 1
purposes 1
quickly 1
quiet 1
regrets 1
reveal 1
revealing 1
reveals 1
revelation 1
scheming 1
slept 1
soon 1
strips 1
stupid 1
takes 1
terms 1
that 3
the 10
they 1
thinks 1
this 1
to 5
truewit 2
two 2
vain 1
warden 1
wealthy 1
wedding 1
wellmeaning 1
whole 1
wife 2
with 4
woman 1
women 1
worst 1
