20556113
/m/0521nsp
/m/0521nsp
Patrick O'Brian
1954
{"/m/08sdrw": "Adventure novel"}
130 1
140 1
a 19
abandoned 1
ability 2
acquires 1
actual 1
adventure 1
adventures 4
airborne 1
aircraft 1
allows 1
almost 1
although 1
an 1
anachronism 1
and 24
anything 1
appeal 1
archeological 1
are 5
areas 1
armament 1
army 1
as 11
aspects 1
at 2
available 1
away 1
ayrton 4
band 2
bandits 1
be 3
becomes 2
been 2
begins 2
below 1
better 1
blizzard 1
both 2
bowing 1
boy 1
bravery 1
brushes 1
but 1
by 2
can 3
captain 3
cast 1
characters 2
china 1
chinese 2
circuitous 2
companion 2
completely 1
completes 1
conditions 1
cook 1
course 1
cousin 1
created 2
creating 1
credibility 1
crossing 1
cultures 1
danger 2
dangers 1
deadly 1
derrick 4
described 1
designed 1
deus 1
disaster 1
does 1
dramatic 1
draws 1
during 2
encounters 1
engaged 1
engine 1
equipping 1
escape 3
escapes 1
even 1
eventual 1
ex 1
existing 1
exotic 1
expedition 1
experience 1
expert 1
face 1
falcon 1
female 1
fighting 1
final 1
finally 1
fire 1
firepower 1
flown 1
follow 1
for 1
forced 1
forming 1
from 1
functioning 1
gasoline 1
glacier 1
goal 1
great 1
ground 1
group 1
guides 1
gun 1
han 2
handtohand 1
harmless 1
has 3
have 1
he 2
helicopter 2
helicopters 1
him 1
himself 2
his 2
history 2
horseman 1
horses 1
how 1
however 1
hunt 1
imagination 1
imprisoned 1
imprisonment 1
improbable 1
in 16
include 1
includes 1
inexperienced 1
inimical 1
interesting 2
intrepid 1
involve 2
involved 1
is 6
it 1
its 1
jade 1
journey 1
know 1
known 1
large 1
late 1
latter 1
learns 1
li 2
limited 1
little 1
locales 1
loss 1
machina 1
major 1
manner 1
masquerading 1
material 1
may 1
mechanical 1
member 1
members 1
monastery 1
mongolian 4
monks 1
must 2
near 1
neither 1
nor 1
not 3
novel 1
numbers 1
obrian 4
of 15
off 1
officer 1
olaf 2
old 1
on 2
once 1
one 1
only 1
order 1
other 1
otherwise 1
out 2
party 8
partymembers 1
pass 1
perilous 1
pilot 1
plot 1
produced 1
product 1
professor 4
prototypes 1
prowess 1
qualities 1
reaches 1
reality 1
rediscovery 1
relatives 1
rendezvous 1
resonate 1
reveal 1
revolutionaries 1
ride 1
road 5
romance 1
ross 4
route 3
russian 1
safety 1
samarcand 4
satisfy 1
scarce 1
sea 1
seamen 1
seen 1
sees 1
send 1
series 1
set 1
ship 4
shore 1
silk 1
skilled 1
skills 1
skirmishes 1
skirted 1
some 2
south 1
spare 1
speak 1
specializes 1
starting 1
stateofaffairs 1
story 2
storytelling 1
stretch 1
structured 1
subplots 1
subsequent 1
succeeds 1
sullivan 4
superior 1
surviving 1
svenssen 1
technology 1
teenaged 1
that 1
the 44
their 1
there 2
they 1
this 5
tibetan 1
time 1
to 19
today 1
travel 1
traveled 1
treasure 1
turns 1
type 1
typhoon 1
typical 1
uncle 1
under 1
until 1
up 1
verge 1
virtually 1
voyage 1
warfare 1
was 1
were 2
what 1
when 4
where 3
which 2
while 1
who 2
wishes 1
with 6
would 1
yeti 1
