2723148
/m/07_18s
/m/07_18s
Astrid Lindgren
1973
0 2
13 1
a 39
about 4
act 1
adored 1
adventures 1
after 6
afterlife 1
again 3
against 1
ages 1
agrees 1
all 3
allegiance 1
almost 2
alone 2
also 1
an 2
and 64
angry 1
appears 2
approached 1
are 10
arms 1
around 2
arrested 1
arrive 1
arrow 1
as 11
asks 1
asleep 1
assures 1
at 5
attack 1
attacks 1
attempts 1
away 1
back 4
backwards 1
bathe 1
battle 3
be 9
beasts 1
become 1
been 3
before 3
beginning 1
being 2
between 2
big 2
black 2
boat 1
both 1
bow 1
branded 1
branding 1
bravery 1
breaks 1
bridge 3
bring 2
brother 6
brothers 3
brought 2
build 1
built 1
burned 1
but 9
by 8
cage 1
called 2
calms 1
camp 2
campfires 1
can 3
cannot 1
capital 1
carries 1
carrying 1
castle 1
catches 1
cave 5
certain 1
chases 1
cherry 3
chest 2
chosen 1
claiming 1
claims 2
cliff 1
cliffdrop 1
collected 1
come 1
comes 1
commences 1
completed 1
confirmation 1
connects 1
constantly 1
contempt 1
control 2
controls 1
cottage 1
could 1
country 1
courageous 1
cross 1
cruel 1
cry 1
crying 1
current 1
custody 1
dangers 1
dark 1
day 2
days 2
death 3
deep 1
defence 1
demand 1
demonstrate 1
denounces 1
descended 1
desperate 1
despite 2
die 2
dies 2
different 1
digging 1
discovered 2
discovery 1
ditch 1
does 2
doing 1
dont 1
dove 1
doves 1
down 6
dragon 4
dressed 1
drops 1
drowning 1
drowns 1
due 1
during 2
dusk 1
duty 1
each 3
earlier 1
empathy 1
end 1
enemy 1
enough 1
enslaved 1
ensues 1
entered 1
entrance 2
escape 3
escapes 1
even 2
everyone 4
evil 3
executed 1
exist 1
exists 1
expected 1
expeditions 1
explains 1
fall 1
falling 1
falls 3
familiar 1
farm 1
fast 2
fastflowing 1
fatally 1
favour 1
fears 2
fed 1
feel 1
female 1
few 2
fight 3
fighting 1
finally 3
find 1
finds 2
fire 2
firebreathing 1
first 1
fishing 1
fjalar 1
fly 1
follow 1
follows 1
for 5
forbidden 1
