16792059
/m/04069fz
/m/04069fz
Muriel Spark
1963
{"/m/02xlf": "Fiction"}
145 2
163 1
a 2
age 1
amongst 1
an 2
anarchist 1
and 5
apart 1
are 1
backstory 1
been 1
behavior 1
below 1
between 1
builds 1
bulk 1
by 1
childe 1
club 3
concerning 1
concerns 2
convenience 1
conversion 1
day 2
deprivations 1
desperate 1
elocution 1
established 1
evil 1
families 1
farringdon 3
flashbacks 1
follow 1
for 1
former 1
frame 1
from 1
haiti 1
has 1
he 1
heartlessness 1
immediate 1
in 7
inhabitant 1
instructor 1
intellectual 1
is 2
it 2
its 1
jane 1
jesuit 1
joanna 1
journalist 1
kensington 1
killed 2
ladies 1
led 1
lives 1
london 1
loves 1
martyrdom 1
may 1
means 1
narrative 1
news 1
nicholas 1
novella 1
obliged 1
occupation 1
of 10
order 1
pecuniary 1
perceived 1
postwar 1
priest 1
protection 1
research 1
reside 1
residents 1
selina 1
set 2
slender 1
slowly 1
social 1
story 1
taken 1
teck 1
that 2
the 17
their 1
thirty 1
through 1
to 6
tragedy 1
turned 1
unfolding 1
up 2
ve 1
vj 1
wants 1
who 1
wright 1
years 1
