1282425
/m/04pwz4
/m/04pwz4
Charles Dickens
1845
a 10
acts 1
actually 1
after 1
allegedly 1
america 1
and 7
angel 1
as 2
at 1
baby 1
be 1
been 1
before 1
bertha 1
blind 1
boy 1
but 2
by 2
caleb 2
carrier 1
cheated 1
chirps 1
christmas 1
clandestine 1
comes 1
constantly 1
contract 1
cricket 1
cut 1
daughter 1
day 1
days 1
dead 1
dearly 1
decides 1
deliberations 1
disguise 2
does 1
dot 4
ebenezer 1
edward 4
elderly 1
embraces 1
employed 1
end 1
eve 1
faithful 1
family 1
few 1
for 1
guardian 1
has 4
he 3
heart 2
hearth 1
her 1
him 2
his 4
home 1
hours 1
house 1
however 1
in 3
indeed 1
intersects 1
is 6
john 4
life 1
like 1
lives 1
lodger 2
lodging 1
love 2
loves 1
man 1
marriage 1
marries 1
marry 1
marrying 1
may 3
melted 1
miser 2
mr 1
much 1
mysterious 3
nanny 1
none 1
not 1
now 1
of 4
on 3
one 1
other 1
over 1
peerybingle 3
peerybingles 1
plummer 1
poor 1
relieve 1
returned 1
revealed 1
reveals 1
scene 1
scheduled 1
scrooge 1
season 1
seems 1
she 3
shows 2
slowboy 1
some 1
son 1
south 1
stranger 1
surrenders 1
sweetheart 1
tackleton 6
takes 1
than 2
that 3
the 12
their 3
this 1
thought 1
tilly 1
to 10
toymaker 1
traveled 1
true 1
up 1
visit 1
was 1
where 1
who 3
wife 4
with 2
young 1
younger 1
