1544580
/m/0594_y
/m/0594_y
Erich Kästner

a 8
across 1
adults 1
adventure 1
after 1
again 2
alike 1
am 1
and 11
any 1
apart 1
are 5
as 2
at 4
be 4
becomes 3
been 2
before 2
begins 1
begun 1
bhlsee 1
birthday 2
bohren 1
bohrlaken 1
bookkeeping 1
both 1
braids 2
but 1
calls 1
camp 3
chance 1
changes 1
claim 1
close 1
come 1
comes 1
cook 1
curls 1
curly 1
daughter 1
decide 3
discovery 1
divorced 1
dont 2
each 3
eat 1
eebhl 1
end 1
entire 1
ever 2
exhusband 1
eye 1
father 3
favorite 1
fight 1
find 2
finds 1
food 1
for 1
forgotten 1
four 1
from 4
get 3
gets 1
girls 8
girlsrude 1
go 1
hair 2
happened 2
has 7
have 5
hears 1
her 11
hers 1
him 1
horn 1
housekeeper 1
how 1
identical 1
ill 2
immediately 1
in 8
is 5
it 3
just 1
keep 1
keeping 1
know 1
krner 1
lake 1
lisa 9
living 1
long 1
longer 1
look 1
lotte 1
lottie 9
love 1
luise 1
many 1
meanwhile 1
meet 1
model 1
mother 4
munich 1
munichmeet 1
need 1
neither 1
never 2
nineyearold 1
no 2
not 1
of 6
off 1
on 4
one 2
or 2
orig 3
other 2
out 5
over 1
palfy 2
parent 1
parents 3
picture 1
places 1
planning 1
presents 1
pretending 1
quickly 1
realize 1
realizes 1
remarried 1
remarry 1
respectful 1
return 1
school 1
seen 1
separated 1
she 5
shy 1
sister 1
so 1
soon 1
still 3
stopped 1
stops 1
story 1
student 2
suddenly 1
summer 3
surprised 1
suspects 1
taken 1
talk 1
tell 2
tells 1
terrible 1
that 13
the 17
their 2
them 2
they 11
this 1
time 1
to 18
told 1
trade 1
travel 1
turns 2
twin 1
twins 1
two 3
unfair 1
very 1
vienna 4
was 1
wears 1
were 1
what 2
when 2
where 1
while 3
who 1
why 1
will 3
with 1
writing 2
