1085770
/m/044r03
/m/044r03
Brinsley MacNamara
1918
{"/m/02xlf": "Fiction", "/m/05hgj": "Novel"}
a 5
against 1
an 1
and 4
area 1
attempted 1
author 2
be 1
become 1
been 2
book 2
boycotted 1
burning 1
by 2
case 1
caused 1
colloquial 1
court 1
created 1
described 1
emigrate 1
eventually 1
family 1
father 1
for 1
good 1
gossip 1
had 2
has 2
he 1
highprofile 1
himself 1
hostility 1
in 3
individual 1
interest 1
inwardlooking 1
ireland 1
it 1
its 1
james 1
joneses 1
keeping 1
led 1
life 1
macnamara 1
matters 1
neighbours 1
never 1
novel 2
obsessed 1
of 6
one 1
particularly 2
peers 1
people 1
perception 2
personal 1
power 1
present 1
providing 1
public 1
reemerges 1
reprinted 1
resulted 1
returned 1
rural 1
schoolmaster 1
several 1
similar 1
society 2
squinting 1
stir 1
story 1
term 1
that 1
the 13
theme 1
they 1
those 1
thought 1
times 1
to 6
told 1
topic 1
up 1
valley 1
when 1
which 1
who 1
windows 1
with 3
