1455148
/m/052xjf
/m/052xjf
Edgar Allan Poe
1845-12
{"/m/0c3351": "Suspense"}
a 9
additional 1
after 1
again 2
an 1
and 8
answered 1
are 1
as 6
asking 1
asks 1
at 1
attempts 1
author 1
awaken 1
back 2
be 1
been 2
begs 1
between 1
blackened 1
body 1
breathing 1
bringing 1
by 2
case 1
checking 1
cold 1
comes 1
coming 1
condition 1
confirming 1
consents 1
considers 1
curious 1
daily 1
dead 3
death 1
decays 1
deferred 1
detestable 1
developed 1
diagnosed 1
die 1
difficulty 1
discussion 1
during 1
dying 2
effects 1
either 1
entire 1
ernest 1
ever 1
experiment 2
experimenting 1
extraordinary 1
facts 1
far 1
fear 1
finally 1
first 1
for 3
friend 1
from 1
had 1
has 3
have 2
he 12
heartbeat 1
him 4
his 5
hours 1
hurry 1
hypnagogic 1
hypnotism 1
immediately 1
in 6
incited 1
influence 1
inform 1
informs 1
insists 1
interested 1
into 3
involving 1
is 8
it 1
just 1
knows 1
later 1
leaves 1
letter 1
liquid 1
loathsomeof 1
long 1
magnetism 1
makes 1
mass 1
medical 1
mesmeric 1
mesmerism 2
mesmerized 3
months 1
narrator 8
nearly 1
next 1
night 1
no 1
nurses 1
of 8
on 3
one 1
or 2
out 2
pale 1
part 2
patient 2
perceptible 1
person 1
phthisis 1
physicians 2
point 1
points 1
poor 1
presents 1
previously 1
probably 1
process 2
pseudoscience 1
public 1
pulse 1
put 1
putrescence 1
questions 1
quickly 2
recently 1
repeatedly 1
reports 1
return 1
see 1
seemingly 1
serve 1
seven 1
shouts 1
skin 1
sleep 1
state 2
student 1
swollen 1
take 1
takes 1
that 5
the 17
their 1
then 1
this 1
time 1
to 9
tongue 2
too 1
trance 3
tuberculosis 1
twentyfour 1
two 3
valdemar 13
voice 2
wake 1
wakefulness 1
what 1
which 3
who 1
whom 1
will 1
willing 2
with 3
without 1
witnesses 2
would 1
