1060361
/m/042hz3
/m/042hz3
Charles Dickens
1848
{"/m/05hgj": "Novel"}
3i 1
3whose 1
a 30
abandoned 1
abused 1
accidentally 1
accompanies 1
accounts 1
acidic 1
activities 1
adrift 1
adults 1
advice 1
affection 1
after 8
again 1
against 1
alice 4
all 4
alone 3
already 1
also 3
always 1
amiable 1
an 3
ancient 1
and 65
anger 1
announce 1
answers 1
apartment 1
appearance 1
appointed 1
arduous 1
are 6
argument 1
around 1
as 14
asking 1
assistant 1
association 1
at 6
attempts 2
avaricious 1
away 6
b 1
ba 1
back 2
bagstock 1
bankrupt 1
barbados 2
be 2
bears 1
beautiful 1
because 1
becomes 1
been 8
before 2
befriend 1
befriended 1
begins 1
being 4
bemused 1
better 1
between 2
beyond 1
birth 2
blame 1
blames 1
blimber 2
boat 1
book 3
born 1
both 6
boy 1
boys 1
breast 1
bride 1
brighton 3
brother 2
brothers 1
brown 4
business 2
but 5
buying 1
by 14
call 1
came 1
can 1
captain 3
care 2
cared 1
caribbean 1
carker 11
changed 3
chapter 2
charge 1
chick 2
chicken 1
child 1
children 1
china 2
city 1
clear 1
clerk 1
close 1
co 1
cold 1
companion 1
company 2
concerns 1
confidence 1
conspires 1
contents 1
continue 1
conversation 1
conversations 1
convict 1
cornelia 1
couple 1
cousin 2
creature 1
crime 1
criminal 1
cry 1
curls 1
cuttle 5
daughter 6
daughterhe 1
day 2
days 1
death 2
decline 1
declines 1
deliberately 2
depart 1
departure 1
desperately 1
despises 1
despite 1
develops 1
dies 2
dijon 2
discovered 1
discovers 1
dismisses 1
distraction 1
distraught 2
do 2
does 1
doing 1
dombey 29
dotes 1
dr 1
dream 1
drowned 1
during 1
dust 1
dying 1
earn 1
earnest 1
edith 7
edth3s 1
education 2
edward 1
effectively 1
elder 1
elderly 1
employee 1
employer 1
employment 1
employs 1
encouraged 1
ends 1
england 4
entitled 1
entrusted 1
even 1
evening 1
events 1
ever 2
eyes 1
face 1
faded 1
falls 1
far 1
fashioned 1
father 3
feeder 1
feenix 2
fellow 1
few 1
filial 1
final 3
finally 4
financial 2
find 1
firm 2
first 2
flatterer 1
fled 1
flees 2
floating 1
florence 19
following 1
fond 1
for 18
forced 1
forgive 3
former 4
france 1
frequently 1
friend 4
friends 2
friendship 1
from 6
further 1
futilely 1
gardens 1
gay 1
gentle 1
gills 4
gives 1
giving 1
gleaned 1
gloom 1
go 1
goes 2
going 1
good 1
granddaughter 1
grandfather 1
grandpapa 1
grandson 1
