3459450
/m/09dlhc
/m/09dlhc
Pierre Christin
1977

185 1
186 1
1881 1
210 1
a 38
accordingly 1
accuses 1
actions 1
activate 1
activates 1
activities 1
adversary 2
again 1
alien 10
alive 1
all 7
alley 1
along 1
also 2
amid 2
among 2
an 6
anachronism 1
anachronisms 1
and 42
androids 1
animation 2
another 4
anything 1
are 6
around 1
artificial 2
as 7
asks 1
asleep 1
astroship 8
at 8
atmosphere 1
attack 1
attacked 1
attacking 1
attention 1
attracts 1
away 1
back 2
battlefield 2
battles 1
bay 3
be 4
been 2
before 4
beginning 2
being 2
bicycle 1
blatant 1
blood 1
blue 1
bombed 1
books 1
both 1
bottom 1
breaks 1
british 2
building 3
but 8
by 8
bystanders 1
cabinet 1
caf 1
call 1
can 4
capsules 1
car 2
cargo 2
carriage 1
catch 1
caught 1
century 3
check 1
chinatown 1
city 1
clear 1
clock 1
clone 1
clones 4
close 1
club 5
collection 2
comes 2
coming 1
communicated 1
communications 4
companion 1
company 1
compatriots 1
complains 1
complete 1
completely 1
concealed 1
conditioning 1
consciousness 1
containing 1
continues 1
contradiction 1
conversation 1
coordinates 5
corner 1
cornered 1
corpses 2
crashed 1
creating 1
creator 1
creature 1
crosses 1
cycles 2
dashboard 1
davidson 1
dead 1
decided 1
deep 2
demands 1
deserted 1
despair 1
destruction 1
determine 1
devastation 1
device 5
devices 1
die 1
dies 1
discover 1
dispatched 1
do 1
docks 1
documents 1
drags 1
draws 1
dressed 1
driven 1
driver 1
driving 1
due 1
each 3
earth 8
earths 1
east 1
edge 2
else 1
emerges 1
end 1
england 1
entering 2
enters 3
estimates 1
events 2
eventually 1
ewart 1
examined 1
exhausted 1
expected 1
explain 1
explains 2
exterior 1
external 1
faced 1
falls 2
fascinated 1
feared 1
fight 1
fill 1
films 1
find 1
finds 3
first 1
flees 1
flies 1
floating 1
follows 1
for 9
forcefield 1
forces 1
fort 3
forwards 1
francisco 2
french 1
from 7
further 1
galaxity 1
gathers 1
gentleman 2
german 1
get 2
gets 1
getting 1
give 1
given 1
gladstone 2
go 1
goes 2
gone 1
greeted 1
ground 2
group 1
guards 1
gun 3
had 1
happening 1
happy 1
harley 1
has 9
have 1
he 23
head 2
heads 1
her 9
high 1
him 9
his 14
historian 1
history 4
holiday 1
horrified 1
horror 1
hours 1
house 1
hundreds 1
if 1
immediate 1
improve 1
in 21
including 1
incursion 1
india 2
indians 1
influence 1
initially 1
inside 1
instead 1
intervention 1
into 7
invasion 1
invites 1
is 35
island 1
islands 1
isnt 1
it 5
its 1
jadna 16
jet 1
join 1
jump 1
keep 1
key 1
kill 1
kills 1
knocked 1
knocks 2
land 1
last 1
latest 1
launch 3
laureline 21
lead 2
leaping 1
leaves 1
leaving 2
let 1
library 1
lies 1
lifespan 1
like 2
located 1
location 2
london 1
looks 1
loss 1
machine 2
machines 1
made 1
maharajah 2
make 2
makes 1
man 2
materialise 1
meeting 1
members 1
men 2
menace 1
mercy 1
message 1
minister 1
mission 2
moat 1
modified 1
moments 1
monuments 1
more 3
mosque 1
moves 1
must 1
name 1
near 1
need 1
never 1
new 3
next 4
nineteenth 2
no 1
not 4
number 1
objective 1
observation 1
observes 2
of 48
off 3
offers 1
on 12
once 1
one 5
only 2
open 1
opens 1
orders 4
original 1
ornate 1
other 1
others 1
out 8
outside 1
over 2
pack 2
paris 2
part 3
particular 1
past 4
percy 3
periods 1
person 2
photographs 1
piled 1
pinball 1
plan 1
planet 1
plunges 1
point 1
populate 1
posing 1
power 1
prepare 3
prime 1
private 1
program 4
psychological 1
pursued 2
puts 1
pyramids 1
quarry 1
ramparts 1
ready 3
real 7
realise 1
recreation 4
recreations 2
recuperation 1
regaining 1
released 1
remained 1
responds 2
restricted 1
retorts 1
retreats 1
return 1
revives 1
reviving 1
rich 1
room 1
run 2
san 2
satellite 1
search 1
searching 2
see 3
seeing 1
seen 1
sees 1
sends 1
sent 2
servants 1
service 1
set 2
she 10
shell 1
shifting 1
ship 4
shoots 1
shot 2
show 1
showed 1
shows 1
since 1
sir 3
sleep 1
slightly 1
slowly 1
so 2
society 1
soldiers 1
someplace 1
soon 1
space 5
spatiotemporal 2
still 2
straight 1
strange 1
street 2
streets 2
suddenly 3
sure 1
surprise 1
surprised 1
surrounded 1
surrounding 1
suspended 2
swerves 1
switches 1
table 1
take 1
takes 1
telepathically 1
telling 1
tells 2
that 24
the 121
their 6
them 6
then 1
there 4
these 3
they 4
this 7
three 1
through 2
thug 1
time 5
timeline 1
to 47
tommy 1
top 2
town 1
transmission 1
transmits 2
tried 1
troops 1
trying 1
turn 1
twentieth 1
unchanged 1
unconscious 1
uncouth 1
under 1
understanding 1
uniform 1
unknown 2
unruffled 1
up 2
upon 1
upset 2
used 2
using 1
valrian 34
various 1
vast 1
vatican 1
view 1
visit 1
visitor 1
vista 1
waits 1
walking 1
walks 1
war 1
warn 2
was 3
watch 1
watching 1
water 1
waters 1
way 1
we 1
well 3
were 1
what 1
when 2
where 5
whether 1
while 2
who 7
whose 1
will 3
william 1
with 8
women 1
work 1
world 1
worst 1
zooming 1
