564488
/m/02qjb8
/m/02qjb8
Richard Morgan
2002-02-28
{"/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction", "/m/03xj9g": "Hardboiled"}
48 2
4851 1
a 15
able 3
acquire 1
action 1
actions 1
actually 1
afford 1
after 2
aging 1
allow 1
also 1
alter 1
amplify 1
an 2
and 9
apparent 1
apparently 1
are 6
arranged 1
as 1
at 1
authorities 1
backup 2
bancrofthas 1
banned 1
basis 1
battle 1
bay 1
be 6
bear 1
because 2
believe 1
believes 1
biblical 1
bodies 5
body 2
but 1
by 5
called 3
can 6
capabilities 1
carried 1
casualties 1
catholic 1
catholics 2
centers 1
challenge 1
choose 1
city 1
columns 1
combat 1
committed 1
consciousness 1
continual 1
cope 2
copies 1
corps 3
cortical 1
deal 1
death 1
debacle 1
deceased 1
destroyed 2
die 1
dies 1
different 1
digital 1
digitally 2
discourages 1
download 1
downloaded 2
during 1
dystopian 1
each 1
effectiveness 2
elias 1
emphasises 1
end 1
ensures 1
environment 1
envoy 5
envoys 1
especially 1
even 1
eventually 1
ex 1
extensive 1
fasterthanlight 1
fighting 1
figure 1
five 1
for 1
form 1
formed 1
formerly 2
forms 1
francisco 1
from 3
full 1
get 1
go 1
goes 1
governmental 1
great 1
has 2
have 3
he 4
heaven 1
hires 1
his 7
holding 1
hour 1
hours 1
human 1
if 2
in 15
including 1
indefinitely 2
infected 1
inhabited 1
inhibit 1
innenin 1
interstellar 1
into 3
intuition 1
investigate 1
is 9
keep 1
killed 1
killers 1
know 1
kovacs 6
laurens 1
legal 1
lethal 1
live 1
lives 1
longlived 1
makes 1
man 1
memories 3
mental 1
metha 1
meths 1
methuselah 1
military 2
minds 1
more 1
most 6
murder 3
mystery 1
named 1
narrative 1
necessary 1
needlecasting 1
neurochemical 1
new 3
no 1
normal 2
not 4
novel 3
of 11
on 6
once 1
one 2
only 4
or 1
order 1
out 1
over 1
pass 1
people 3
persistently 1
personalities 1
physical 3
planet 1
plot 2
policeman 1
position 1
positions 1
possible 1
power 1
previous 1
process 1
prologue 1
rawling 1
reality 1
reference 1
regularly 1
remote 1
replacement 1
resleeved 5
resleeving 2
resolution 1
rich 1
ryker 1
san 1
schedule 1
senses 1
sensors 1
severely 1
sharya 1
since 2
sleeve 4
sleeves 1
so 2
soldiers 1
solves 1
somewhat 1
soul 1
special 1
spinal 1
stack 4
stacks 2
storage 1
store 1
stored 4
strand 1
strength 1
subspace 1
such 2
suffered 1
suicide 2
survive 1
taken 1
takeshi 1
targets 1
techniques 1
temporarily 1
testify 2
than 1
that 5
the 26
their 11
theory 1
they 8
this 5
through 2
time 1
to 20
torture 1
training 3
transmission 1
transmitted 1
transmitting 1
travel 1
trial 1
twice 1
un 1
unable 1
unfolds 1
unit 1
unknown 1
update 2
very 1
victim 1
violence 1
virtual 1
virus 1
warfare 1
was 2
way 1
wealthy 1
were 1
when 1
where 1
which 7
while 3
will 2
with 3
woman 1
world 1
worlds 1
would 3
wracked 1
