2646224
/m/07v1xh
/m/07v1xh
Denis Guedj
1998
a 4
amicable 1
an 3
and 9
any 1
apparently 1
archimedes 1
around 1
as 1
at 1
between 1
book 1
books 1
bookseller 1
brazil 1
bringing 1
children 1
circle 1
code 1
consignment 1
contact 1
covered 1
crack 1
cube 1
deaf 1
decades 1
discoveries 1
doubling 1
elderly 1
employee 1
euclid 1
exploration 1
factors 1
for 1
friend 2
from 2
has 1
his 1
historical 1
household 2
housemate 1
in 4
include 1
into 1
intriguing 1
irrational 1
is 2
its 1
last 1
liberates 1
lived 1
market 1
mathematical 2
mathematics 3
max 2
messages 1
mr 3
murdered 1
now 1
numbers 1
of 6
old 2
order 1
own 2
paris 1
parrot 1
perrette 2
plot 1
primes 1
problems 2
pythagoras 1
real 1
receives 1
revolves 1
ruche 3
sequence 1
series 1
sets 1
squaring 1
stories 1
talking 1
teenage 1
the 12
their 1
them 1
three 1
to 1
topics 1
twins 1
two 1
up 1
wheelchairusing 1
who 2
with 1
without 1
woven 1
young 1
