22094421
/m/05p6thz
/m/05p6thz
Eric Flint
2009-11-03
a 3
admiral 1
after 1
against 1
amassed 1
amidst 1
an 1
and 3
anton 2
arai 1
as 2
assigned 1
at 1
attack 2
audubon 1
ballroom 1
becomes 1
being 1
beowulf 1
berry 2
biological 1
bodyguard 1
bsc 1
by 3
cachat 2
commando 1
corps 1
defected 1
escape 1
fleet 1
for 1
freed 1
from 2
general 1
had 1
hugh 1
in 1
interest 1
involved 1
is 1
jeremy 2
launches 1
leading 1
league 1
luiz 1
maya 1
mayhem 1
mesa 3
navy 1
of 2
on 1
queen 1
rear 1
romantically 1
rozsak 1
scientist 1
sector 1
slavery 1
solarian 1
survey 1
the 6
thwarted 1
together 1
torch 2
undercover 1
victor 2
was 1
were 1
while 1
who 2
with 2
worked 1
working 1
x 2
zilwicki 2
