1949025
/m/0687yr
/m/0687yr
Walter Scott
1816
1 1
a 27
abilities 1
about 2
accident 1
accidentally 1
actually 1
adll 1
after 3
agree 1
agricola 1
alas 1
alive 1
along 1
already 1
amusing 1
an 2
ancient 3
and 40
angered 1
another 2
antiquary 1
antiquities 1
appears 1
approve 1
are 2
arranges 1
arrest 3
arrested 1
arrive 1
arrives 1
arthur 9
artist 1
as 5
assumes 1
at 6
attacking 1
attempting 1
attempts 1
attention 1
avoid 1
awe 1
back 2
bag 1
barely 1
be 4
beach 2
bears 1
because 1
become 2
becomes 1
been 1
before 1
behind 1
being 1
believe 1
believes 1
believing 1
best 1
between 1
birth 1
bleeding 1
boards 1
book 2
brother 1
bullet 1
buried 1
but 2
by 5
calls 1
can 1
cannot 1
captain 2
carry 1
casket 1
causes 1
chest 4
child 1
cliff 2
coach 1
come 1
comes 3
coming 1
command 1
commander 1
commit 1
committed 1
con 1
confronts 1
cons 1
conveniently 1
convince 2
convinces 2
cost 1
daughter 1
day 1
debt 1
decides 1
defence 3
departs 1
desires 1
dicavit 1
dies 2
dig 1
digging 1
discover 1
discovers 1
discuss 1
dismay 1
dispute 1
division 1
divulge 1
does 3
dominates 1
dons 1
dousterswivel 12
down 1
duel 1
during 1
each 1
edie 14
edinburgh 1
elspeth 3
escape 1
eveline 3
everyone 1
excitement 1
exploring 1
family 2
father 2
favor 1
fight 1
finally 3
find 4
finds 1
fires 1
fishing 1
flee 1
flees 1
for 7
found 1
four 1
free 1
frees 1
french 1
friend 1
friends 1
from 5
full 2
further 2
german 1
gets 1
gives 1
giving 1
glenallan 6
glenallen 3
go 1
goes 1
gold 2
good 1
gordon 1
grandmother 1
great 1
ground 1
had 3
hangs 1
has 3
have 1
having 1
he 7
heavily 1
help 2
helped 1
helps 1
her 5
hiding 1
highland 1
him 10
his 19
history 2
home 3
honor 1
house 1
huddling 1
illegitimate 2
image 1
immediately 1
in 13
individual 1
inscription 1
insight 1
interest 1
interested 1
interests 1
intervention 1
into 1
introduce 1
invading 1
invasionto 1
invites 1
is 18
isabella 3
it 3
itinerarium 1
join 1
jumping 1
jumps 1
just 1
knavery 1
knocks 1
know 1
knowing 1
knowledge 1
knows 2
land 2
later 1
learns 1
leave 1
leaves 3
left 1
legitimate 1
libens 1
lid 1
lift 1
listener 1
lit 2
long 3
look 1
looking 1
lord 4
lovel 19
lubens 1
luckily 1
mage 1
magical 2
maid 1
major 3
makes 1
marriage 2
married 1
marry 1
may 1
mean 1
means 1
meanwhile 1
meets 3
merely 1
message 1
military 2
mind 1
mintyre 4
mission 1
mistake 1
mocking 1
money 1
monkbarns 1
more 1
mother 1
mourning 1
mucklebackit 1
mucklebackits 1
named 3
national 1
nature 1
nearby 1
nephew 2
never 1
neville 4
next 2
niece 1
night 1
no 1
not 5
now 1
occupy 1
ochiltree 2
of 24
oldbuck 15
on 5
one 2
opening 1
opportunity 1
order 1
other 1
out 2
over 1
own 2
pay 1
perfectly 1
personal 1
phrase 2
picked 1
plot 1
pocketbook 2
potential 1
pregnant 1
prepare 1
previously 1
priest 1
process 1
promise 1
promptly 2
property 2
proves 1
pull 1
purchased 1
raised 1
realize 2
realizes 2
receives 1
recovers 1
relative 1
relieves 1
respects 1
return 4
returns 1
reunited 1
revealed 1
ring 2
rising 1
road 1
rocky 1
role 1
roman 1
ruins 5
ruth 1
safety 2
saint 1
same 1
scene 1
scenes 1
sea 1
search 1
second 1
see 3
seen 1
sees 1
senility 1
sent 1
series 1
shadows 1
shared 1
she 6
ship 1
showing 1
shows 3
side 1
silver 1
sir 8
sister 2
slight 1
small 1
someone 1
son 4
standing 1
starting 1
steenie 6
stone 2
stop 1
story 2
strikes 1
suicide 1
surprise 1
sword 1
system 1
systema 1
take 3
taken 3
takes 5
taking 1
talk 1
team 1
tell 1
tells 2
thanks 1
that 14
the 62
their 3
them 3
then 4
there 1
theresa 1
they 9
thief 1
this 5
tide 1
time 1
to 46
topic 1
towers 1
town 1
trapped 1
travels 1
treasure 4
troops 1
two 3
unconscious 1
under 4
understanding 1
up 3
upon 2
valuables 1
violation 1
visit 1
waiting 1
walking 1
wardour 4
wardours 2
warn 1
warning 1
was 4
water 1
waters 1
way 1
when 3
where 1
which 6
while 3
whispers 1
who 4
whose 1
willing 1
with 10
without 1
woman 1
word 1
world 1
would 1
written 1
younger 1
