18847976
/m/04gv4k3
/m/04gv4k3
Jane Taylor

a 5
abolishment 1
actions 1
agent 1
amnesty 1
an 2
and 5
apartheid 1
as 1
away 1
be 1
been 1
blood 1
busi 1
by 1
come 1
concern 1
convergence 1
criminals 1
dawid 1
deal 1
death 1
do 1
dynamite 1
finally 1
follows 1
forward 1
from 1
full 1
governmental 1
great 1
has 1
he 1
him 1
his 3
home 1
however 1
in 2
indecisive 1
infractions 1
is 5
lead 1
may 1
minnaar 1
mistress 1
motion 1
much 1
odour 2
of 8
offer 1
offered 1
on 1
pa 1
path 1
play 1
played 1
regarding 1
set 1
she 2
smells 2
spending 1
squad 1
suspecting 1
suspects 1
suspicion 1
testimony 1
that 3
the 6
their 1
they 1
those 1
time 1
to 3
trc 2
trick 1
truth 1
truthful 1
ubu 2
unsure 1
war 1
what 1
which 1
who 2
wife 1
with 2
zokufa 1
