28323095
/m/0fq0crs
/m/0fq0crs


{"/m/01hmnh": "Fantasy"}
a 10
about 1
accepted 2
actually 1
advanced 1
after 1
all 1
allow 1
allowed 1
alludes 1
along 1
already 1
also 2
and 7
apprentice 3
are 2
as 5
asking 1
assistant 1
at 2
author 1
away 2
bad 1
be 3
because 1
becomes 1
becoming 1
beginning 1
believes 1
believing 1
black 1
book 2
bored 1
breathe 1
but 4
by 1
called 1
cape 1
chamberlain 1
comfortable 1
communicate 1
confirm 1
convinced 1
country 1
daughter 1
day 1
do 2
does 1
doing 1
dragons 1
dragonslayer 7
end 1
ever 1
expresses 1
family 2
far 1
father 1
female 1
fire 1
first 1
for 1
formally 1
from 3
girl 2
give 1
had 1
has 1
have 2
he 7
her 8
himself 1
his 5
idea 1
in 4
indeed 1
is 7
jackie 5
jacqueline 1
job 1
king 1
kingdom 1
know 1
known 1
knows 1
ladylike 1
later 1
learns 1
less 1
let 1
mad 1
man 1
manages 1
more 3
most 1
named 1
near 1
need 1
noble 1
not 4
novel 2
of 5
off 1
on 1
only 2
or 1
outright 1
palace 1
passing 1
people 2
perceptive 1
pride 1
primarily 1
princess 2
progresses 1
quickly 1
ran 1
really 1
receive 1
repeatedly 1
revealed 1
right 1
ron 3
royal 1
say 1
saying 1
sees 1
she 5
should 2
smoke 1
story 2
such 1
taciturn 1
taken 1
teenage 1
that 6
the 18
things 1
think 1
thinks 2
this 1
to 10
told 1
too 1
usually 1
vapor 1
was 1
who 2
with 3
without 1
woman 1
work 1
written 1
