23731462
/m/06zkkhb
/m/06zkkhb
Rosie Harris
2002
a 5
accident 2
again 2
alvarez 1
an 2
and 16
as 3
at 1
baby 1
bed 1
believes 1
billy 7
binges 1
born 1
boy 1
brings 1
bruno 4
business 2
but 1
buys 1
callagan 1
callaghan 2
calm 1
care 1
carrier 2
cart 1
comforts 2
continue 1
crippled 1
day 1
decide 1
decides 1
deeply 1
depressed 1
develops 1
dies 1
discovers 2
docks 1
down 1
drinking 1
end 1
eventually 1
fairground 1
falls 1
family 1
father 2
find 2
finds 2
for 1
get 1
gets 1
goes 1
goig 1
going 2
grant 1
handsome 1
has 1
he 5
helps 2
her 10
hides 1
hiding 1
him 3
horse 1
house 1
how 1
in 6
is 8
john 2
killed 1
liam 4
liverpool 1
lives 1
love 3
loves 2
maeave 1
maeve 4
making 1
married 1
marry 1
meet 1
more 1
morning 1
mother 2
much 1
neglects 1
new 1
next 1
night 1
nurse 1
of 2
off 1
older 1
on 2
once 1
one 1
open 1
out 4
own 1
patsy 12
pregnant 1
realises 1
sea 1
sets 1
she 4
showman 1
spain 1
stables 2
starts 1
stays 1
stops 1
takes 1
that 4
the 9
their 1
they 2
throws 1
to 8
together 3
travel 1
tries 1
tuberculosis 1
unable 1
until 1
up 2
went 1
when 6
while 1
who 1
will 1
with 4
working 1
