4906920
/m/0ctl9p
/m/0ctl9p
John Whitman

{"/m/06n90": "Science Fiction"}
a 6
about 2
accident 1
adult 1
afterward 1
alarming 1
all 1
alone 1
also 2
an 8
and 5
apparently 1
appearance 2
are 1
as 3
at 1
attempt 1
baby 3
because 1
been 1
between 1
bioweapon 1
blows 1
book 2
both 1
bruise 1
burst 1
but 1
by 3
c3po 1
caused 1
chewbacca 1
coat 1
computer 1
connection 1
control 1
convinces 1
created 1
creatures 1
disappear 1
disguised 1
dismay 1
eat 1
eppon 5
experiment 1
fail 1
find 2
forehead 1
full 1
giant 1
gog 8
grows 1
had 2
han 1
he 1
his 2
hoole 6
hoth 1
immediately 1
imperial 2
in 6
inhabiting 1
innocent 1
interesting 1
into 2
is 9
it 3
kill 1
killed 1
kiva 1
lab 2
left 1
leia 1
little 1
luke 1
make 2
mammon 1
many 1
matures 1
monster 1
much 1
mysteriously 1
name 1
named 1
of 1
on 3
once 1
people 1
power 1
princess 1
prior 1
project 1
promptly 2
quickly 1
rate 1
really 1
rebels 1
reduced 1
relocation 1
result 1
revealed 1
revealing 1
reveals 1
rigged 1
said 1
shadow 1
shadows 4
shiidos 1
skywalker 1
solo 1
star 1
starscream 1
state 1
stop 1
suddenly 1
talking 1
tash 2
test 1
that 4
the 14
their 2
then 1
they 4
to 9
together 1
tries 1
tube 1
turn 1
turned 1
turns 1
up 1
was 2
weapon 1
were 1
when 2
which 2
who 5
with 3
worked 1
