33527608
/m/0hgrh50
/m/0hgrh50
Julie Otsuka


a 4
about 4
against 1
all 1
american 2
americanborn 1
and 12
are 5
area 1
arrested 1
as 1
ashamed 1
at 1
attack 1
away 1
babies 1
become 1
behind 1
being 2
big 1
birth 1
boatload 1
bosses 1
brides 1
businesses 1
but 3
by 1
california 1
chapter 4
character 1
children 2
cities 1
classmates 1
come 1
coming 1
consummation 1
continuing 1
country 1
day 1
departure 1
described 1
describes 3
descriptions 1
disappearance 1
discriminated 1
domestic 1
effect 1
english 1
entire 1
events 1
eventually 1
families 3
fear 1
final 1
first 4
forget 1
from 3
girls 1
given 1
giving 1
going 1
gradually 1
had 1
harbor 1
have 1
homes 2
husbands 1
ii 1
immigrant 1
in 7
increasingly 1
individualized 1
individuals 1
is 5
japanese 5
japantown 1
jobs 1
jtown 1
laborers 1
last 1
left 1
like 1
lives 1
living 3
many 1
marriages 1
marry 1
men 2
merchants 1
met 1
migrant 1
miss 1
most 2
neighbors 3
never 1
new 2
next 1
night 1
no 1
none 1
nothing 1
novel 1
of 20
on 1
only 1
or 2
parents 1
particular 1
parts 1
pearl 1
person 1
picture 1
plot 1
plural 1
point 2
quarters 2
raising 1
reality 2
relationship 1
rumors 1
rural 1
schools 1
sense 1
sent 1
sentence 1
servants 1
set 1
shacks 1
some 3
speak 1
specific 1
suburban 1
tells 2
the 25
their 9
them 1
there 1
they 2
third 1
through 1
to 4
told 2
traitors 1
two 1
unknown 1
up 1
usual 1
view 2
vividly 1
want 1
war 1
warning 1
white 1
whites 1
who 2
whom 3
with 2
without 1
women 3
workers 1
world 1
