332043
/m/01x0g5
/m/01x0g5
Terry Pratchett
1989
0 1
a 2
abdicates 1
adventures 1
advised 1
after 2
alignment 1
all 2
allow 1
allowing 1
along 1
ancestors 1
ancient 1
and 9
ankhmorpork 1
are 1
as 4
assassins 1
at 1
attempts 1
back 3
based 1
be 1
been 1
being 2
built 1
by 2
change 1
changes 1
character 1
come 1
confronted 1
consult 1
counterpart 1
country 1
cycle 1
day 1
dead 1
degrees 1
descend 1
destroy 1
destroying 1
died 1
dios 4
disc 1
discworld 1
djelebeybi 1
djelibeybi 6
djelibeybian 1
does 1
egypt 1
ephebe 1
escape 1
eventually 1
every 1
exam 1
fact 2
father 2
final 1
first 1
for 3
forced 1
founder 1
from 1
get 1
gods 1
great 1
guild 1
halfsister 1
handmaiden 1
has 3
hates 1
he 3
help 1
high 1
his 4
history 1
hold 1
home 1
how 1
immediately 1
in 6
inside 1
institutes 1
interesting 1
is 5
it 2
itself 1
king 1
kingdom 8
leads 1
life 1
main 1
massive 1
meanwhile 2
meets 1
misunderstandings 1
much 1
muchneeded 1
multifarious 1
must 1
named 1
newly 1
not 1
numerous 1
of 11
old 1
on 1
original 1
out 3
outside 1
palace 1
pandemonium 1
passing 1
pharaoh 1
pharaohs 1
philosophers 1
populace 1
priest 1
prince 1
problems 1
ptraci 4
pyramid 3
pyramids 1
raised 1
real 1
reenters 1
rest 1
restarting 1
resurrected 1
return 1
returning 1
rotates 1
rule 2
rulers 1
same 1
sending 1
senses 1
several 1
should 1
so 1
some 1
somehow 1
spacetime 2
stay 1
stickler 1
succeeds 1
takes 1
teppic 8
that 4
the 32
then 1
there 1
thereby 1
they 1
thinks 1
through 1
time 1
tiny 1
to 13
tradition 1
training 1
travel 1
turns 2
upon 1
warps 1
where 1
who 2
with 4
world 1
years 1
young 1
