22124869
/m/05p4gqc
/m/05p4gqc
Kathi Appelt
2008-05
{"/m/0dwly": "Children's literature", "/m/01hmnh": "Fantasy"}
a 7
about 2
accidentally 1
ago 1
alligator 1
also 2
although 1
americans 1
and 10
animal 1
another 1
are 3
area 1
around 1
as 1
bad 2
bayou 1
became 1
because 1
been 4
being 1
between 1
beyond 1
book 1
border 1
breaks 1
but 1
by 2
caddo 1
calico 2
can 1
cat 2
chained 1
clay 1
cottonmouth 1
daughter 2
decides 1
do 1
drowned 1
end 1
events 2
ever 1
evil 1
face 2
feet 1
for 1
free 1
frees 1
further 1
gar 2
go 1
going 2
grandmother 3
grown 1
had 1
happen 1
happened 1
has 5
hawk 2
he 3
her 3
himself 1
his 2
hound 2
house 2
human 1
hundred 1
husband 1
important 1
in 4
is 3
jar 1
king 1
kittens 4
lamia 1
leg 1
length 1
live 1
loss 1
lost 1
love 1
man 2
matters 1
meets 2
mentions 1
moccasin 1
much 1
names 1
native 1
near 1
nearby 1
never 1
not 1
now 1
of 1
on 1
only 1
others 1
outside 1
owner 1
part 2
puck 2
ramshackle 1
ranger 2
related 1
release 1
released 1
rule 1
sabine 1
sees 1
seven 1
she 2
shot 1
since 2
something 1
storms 1
swamps 1
texaslouisiana 1
that 3
the 18
there 3
these 1
things 1
thinking 2
those 1
thousand 2
to 5
too 1
trapped 2
underneath 3
unexpected 1
used 1
was 1
water 1
when 3
who 6
years 2
