10335932
/m/02q8v6z
/m/02q8v6z


{"/m/0dwly": "Children's literature"}
a 3
after 3
an 2
and 8
arthur 1
asleep 1
be 1
because 1
being 2
birds 1
biscuit 2
but 1
butt 2
by 1
called 2
can 1
change 1
cloud 1
comes 1
courage 1
creature 1
darkness 1
demon 1
device 4
died 1
else 1
end 1
enters 1
even 1
evil 2
falls 1
father 1
feeling 1
find 1
finding 1
first 1
form 1
frog 1
from 1
furry 1
giants 1
grandma 1
guide 1
has 1
he 11
help 1
him 1
his 5
home 1
imagination 1
important 1
instructions 1
is 6
killer 1
learning 1
life 1
lives 1
lose 1
lost 2
lot 1
loved 1
meeting 1
meets 1
mom 1
morf 1
need 1
not 1
now 2
of 4
off 2
on 2
one 1
or 1
orders 1
overweight 2
people 2
quest 1
rather 1
reading 1
realizes 1
reason 1
rem 2
ripped 1
sad 1
should 1
side 1
sleep 1
small 1
so 1
swallowed 1
than 1
that 4
the 8
though 1
throws 1
tired 1
to 1
very 2
weight 2
which 1
whole 1
will 2
with 1
woodbury 1
world 2
