5967227
/m/0fh3wg
/m/0fh3wg
Edith Pattou

a 7
actually 1
agreed 1
agrees 1
ailing 1
always 1
an 3
and 7
another 1
any 1
arne 1
as 2
asks 1
avalanche 1
away 1
bairn 1
be 1
bear 3
before 1
begun 1
believed 1
beneath 1
bunch 1
but 1
by 1
castle 1
child 3
children 1
come 1
compass 1
confronted 1
crushed 1
die 1
died 1
different 1
direction 1
discovers 1
distant 1
driving 1
each 3
east 1
eastborn 1
elise 1
enormous 1
eugenia 3
exchange 1
excluding 1
family 1
familyshe 1
favourite 1
felt 1
finds 1
for 3
fortold 1
fortune 1
go 2
had 2
has 1
have 2
he 1
health 1
heart 1
her 11
himin 1
homebodies 1
hysterical 1
ice 1
in 3
is 2
just 1
loses 1
married 1
mysteriously 1
mystery 2
night 1
north 3
not 1
nyamh 1
of 3
one 1
only 1
out 2
personality 1
place 1
point 1
prosperity 1
purpose 1
readily 1
realizes 1
replace 1
rose 3
seven 1
she 6
short 1
shows 1
skjebnesoke 1
snow 1
so 1
solving 1
soon 1
superstitious 1
takes 1
teller 1
temper 1
that 3
the 4
to 6
told 1
travels 1
uncontrollable 1
up 1
wanderer 1
was 1
when 2
where 1
which 1
white 2
wild 1
with 5
would 1
years 1
young 1
