6341826
/m/0g1xn2
/m/0g1xn2
Joseph Mitchell

000000 1
111 1
12 1
120s 1
142 1
164 1
165 1
20000 1
a 1
able 1
about 1
after 1
along 1
among 1
an 1
and 10
another 1
appeared 1
around 2
article 2
artists 1
as 1
be 2
became 1
block 2
book 3
but 1
by 1
called 1
chapters 1
claimed 1
classes 1
collected 1
combined 1
compiling 1
composed 1
constant 1
conversations 1
countless 1
dealing 1
death 1
decades 1
did 1
discovery 1
early 1
eccentric 1
edited 1
events 2
eventual 1
evidently 1
exhaustive 1
exist 1
experiences 1
fact 1
falling 1
few 1
filled 1
first 1
followed 1
food 1
for 3
form 1
formalized 1
from 3
gave 2
goingson 1
gould 10
graduation 1
gull 1
had 2
handouts 1
happy 1
harvard 1
he 8
held 1
him 4
his 6
history 6
hotel 1
humanity 1
hypergraphia 1
in 15
ironically 1
is 2
it 2
joe 2
later 1
leading 1
life 2
lives 1
local 1
lower 1
made 1
magazines 1
many 2
meaning 1
memoir 1
met 1
mitchell 5
modern 1
money 1
more 3
never 1
new 1
next 1
not 1
notebooks 1
notesmdasha 1
notion 1
observing 1
of 18
old 1
on 2
or 1
oral 4
original 1
other 1
out 2
own 1
part 2
personal 1
pieces 1
plagued 1
portions 1
professor 1
professors 1
profile 2
project 1
prominent 1
publish 1
published 2
record 1
recording 1
reinforcemdashhe 1
representative 1
respect 1
restaurateurs 1
reveal 1
revisions 1
rewriting 1
said 1
same 1
sea 1
searching 1
second 2
secret 3
secretive 1
seemingly 1
set 1
several 1
shopkeepers 1
small 1
suffered 1
support 1
taking 1
textbooks 1
than 1
that 4
the 22
their 1
these 1
this 1
those 2
three 1
to 8
trivial 1
true 1
truth 1
university 1
up 3
versions 1
voices 1
volume 1
waited 1
was 5
wellknown 1
were 2
while 1
whom 1
with 6
words 1
works 1
writer 2
writing 1
wrote 2
years 2
yorker 1
