2165962
/m/06rrg1
/m/06rrg1
Jasper Fforde
2005-07-11
a 67
abnormal 1
about 3
accepts 1
after 3
ago 1
aid 1
aim 1
aiming 1
albumen 1
alerted 1
alien 1
all 7
along 1
also 1
although 1
always 1
amazing 2
amount 1
an 5
and 78
another 3
answered 1
apparently 1
appearances 1
appeared 1
appears 2
appointments 1
are 7
arms 1
around 2
arrangements 1
arresting 1
arrival 1
arrived 1
arriving 1
as 7
ashamed 1
ashley 1
asks 1
at 10
attacked 1
attempt 1
attend 1
auctioneer 1
away 5
axe 1
backwards 1
badly 1
baker 2
barefooted 1
basingstoke 1
be 4
beans 3
beanstalk 2
beast 3
because 5
become 1
bedroom 1
been 5
before 1
begins 2
behind 4
being 2
ben 1
berkshire 1
best 1
big 1
binary 1
biscuit 1
blackmailed 1
blackmailing 2
block 1
bluebeard 1
boarding 1
body 2
bomb 3
book 2
bother 1
break 1
breaks 1
breakthrough 1
briggs 1
broadsword 1
brother 1
bullet 1
burst 1
bursts 1
bury 1
businesses 1
but 21
butler 5
by 18
called 2
calls 2
came 1
can 2
cannot 1
cant 1
car 4
carbuncle 3
care 1
case 5
cases 1
caught 1
celebrity 1
centre 1
cerebellum 1
certain 1
chainsaw 1
charge 1
chasing 1
chief 1
children 2
chimes 3
chocolate 1
chymes 1
claw 1
climb 1
climbs 1
clues 1
code 1
coffee 1
colleague 1
colleagues 1
come 2
comes 2
committed 1
commonly 1
companies 1
company 2
comparing 1
concludes 1
confused 1
confusion 1
consciousness 1
conversation 2
corners 1
could 2
cow 2
cracked 1
create 1
creature 1
crime 4
crowd 1
crumple 1
crushing 1
curtain 1
cut 3
damaged 1
day 2
days 2
dead 3
death 2
decided 1
department 1
describe 1
detected 1
detective 3
diary 1
did 2
died 2
dies 1
disappointed 1
discovered 2
display 1
division 1
divorced 1
doctor 5
doesnt 1
done 1
door 1
doors 1
down 3
dr 1
drquatt 2
dumpty 5
each 1
easter 1
eat 1
egg 3
eggs 3
eminence 1
empire 1
employed 1
employee 1
employees 1
end 2
ends 1
enemies 1
enough 1
enter 1
enters 1
escape 1
even 1
events 1
every 1
everyone 2
evidence 1
exactly 1
experiment 1
explains 3
explanation 1
explode 1
explodes 1
factory 1
failing 3
fake 1
fall 1
fallen 1
falls 2
famous 1
fat 1
feeding 1
feet 1
fell 1
few 4
fictional 1
fifty 1
find 6
finds 3
fired 1
first 1
five 2
flats 1
flautist 1
floor 2
foil 2
follow 1
followed 1
foot 2
footcare 2
for 11
ford 2
forensic 1
found 7
friedland 2
friends 1
from 8
front 3
further 1
gadfly 1
garage 1
garden 1
gas 1
generally 1
get 1
gets 1
giant 4
