7930528
/m/026kg5v
/m/026kg5v
Émile Zola
1884
{"/m/05hgj": "Novel"}
10 2
18 1
1863 1
1yearold 1
a 8
about 1
accuses 1
accusing 1
add 1
against 1
agony 1
air 1
all 2
an 2
and 24
apathy 1
are 1
arromancheslesbains 1
as 2
attempts 2
baby 2
bad 1
banker 1
behaviors 1
being 1
birth 1
blaming 1
bonneville 4
borrow 1
both 1
boy 1
breakwaters 1
breathing 1
brings 1
build 1
but 2
by 2
causes 1
chanteau 5
chanteaus 2
close 1
comes 1
constant 1
contrasts 1
convinced 1
course 1
covers 1
daughter 1
death 1
deathbed 1
degeneracy 1
depression 1
despite 1
destroyed 1
died 1
employment 1
ends 1
engaged 1
enterprises 1
entire 1
escalate 1
even 2
eventually 1
evident 1
express 1
extends 1
extract 1
face 1
factory 1
failure 1
family 2
father 1
fear 1
fight 1
financial 1
food 1
for 3
fortune 1
from 4
further 1
futility 1
gainful 1
get 1
gives 1
gout 1
gradually 1
greed 1
growing 1
grows 1
have 1
he 3
healthy 1
her 10
him 1
his 8
household 1
illness 1
in 10
inability 1
infects 1
infused 1
inherent 1
inheritance 1
into 1
investment 1
is 5
it 1
jetties 1
joys 1
kilometers 1
later 1
lazare 5
life 3
live 1
louise 3
love 2
luck 1
lungs 1
m 1
maintain 2
marriage 1
marry 1
may 1
minerals 1
miserly 1
mme 3
money 1
months 1
nihilism 1
normandy 1
novel 3
nurse 1
obsessivecompulsive 1
of 14
on 2
one 1
ongoing 1
openheartedness 1
opens 1
optimism 1
optimistic 1
outlook 1
over 1
palpable 1
parents 2
particular 1
past 1
paul 1
pauline 11
pessimism 1
poisoning 1
poor 1
pounding 1
praising 1
prevalent 1
project 1
protect 1
provides 1
railing 1
reduce 1
relationship 1
relatives 1
releases 1
resent 1
resentment 2
retains 1
rich 1
saves 1
schopenhauer 1
seaside 1
seaweed 1
selfish 1
series 2
servant 1
setbacks 1
several 1
she 2
side 1
so 1
some 1
son 1
sorrow 2
spends 1
stillborn 1
student 1
subsequent 1
suicide 2
support 1
symphony 1
tacitly 1
tense 1
tenyearold 1
that 2
the 22
their 3
these 1
thibaudier 1
though 2
through 1
to 15
town 1
unable 1
unfinished 1
ungrateful 1
unhappiness 2
unhappy 1
vacations 1
village 1
waves 2
when 1
which 1
who 1
with 7
wracked 1
writings 1
years 2
zola 1
