30036423
/m/0g5637g
/m/0g5637g
Robin Cook


21st 1
a 9
about 1
also 1
alternative 1
an 1
and 6
archaeologist 2
are 1
be 1
become 1
becomes 1
been 1
bible 1
biblical 1
bishop 2
blames 1
bring 1
by 1
case 2
catholic 1
century 1
chiropractor 1
christian 1
city 1
college 1
curious 1
death 2
descendant 1
desperate 1
direct 1
discover 1
discoveries 1
egypt 1
embroiled 2
end 1
examined 1
examiner 1
explanation 1
for 3
found 1
friend 2
friends 2
had 1
has 2
he 1
healthy 1
held 1
himself 1
his 5
hospital 1
in 6
infant 1
information 2
is 3
israel 1
jack 4
james 1
jamilla 2
jerusalem 1
jj 3
killed 1
later 1
mary 1
may 1
medical 4
mind 1
miracles 1
mohammod 1
neuroblastoma 2
new 2
novel 1
of 6
off 1
one 2
palestinian 1
perhaps 1
questions 1
recent 1
scientificmedical 1
seeing 1
shawn 1
similarly 1
son 2
stapleton 5
suggest 1
take 1
technology 1
that 2
the 5
their 1
to 2
towards 1
treatments 1
troubles 1
two 1
unexplained 1
using 1
vanished 1
veracity 1
when 1
where 2
who 1
whose 1
wife 2
woman 2
york 1
young 1
