4117720
/m/0bk1m4
/m/0bk1m4
Elizabeth Moon
1992-02-01
18 1
a 8
add 1
adult 1
alleged 1
and 8
any 1
are 1
around 1
arranged 1
as 5
be 1
been 1
begins 1
between 3
books 1
brands 1
brewersbridge 1
but 1
by 2
comes 1
company 1
cudgel 1
cuthbert 1
deed 2
dorthansdotter 1
dragons 1
dungeons 1
dwarves 1
elemental 1
elves 1
evil 1
faith 1
fantasy 1
father 1
fictional 2
firs 2
fleeing 1
for 1
found 1
gifted 1
gird 1
girl 1
gnomes 1
greyhawk 1
hardships 1
has 1
have 1
headstrong 1
her 3
high 1
home 1
hommlet 1
however 1
humans 1
if 1
in 7
introducing 1
it 1
join 1
journeys 1
kingdoms 1
known 1
leaves 1
life 1
long 1
many 1
marriage 1
may 1
medieval 1
mercenary 1
module 1
moon 2
nontraditional 1
not 1
number 1
of 14
often 1
one 2
out 1
paks 2
paksenarrion 3
paladin 1
particular 1
people 1
place 1
pointed 1
published 1
rather 1
realize 1
religion 1
resemblances 1
revolves 1
saint 1
separate 1
setting 1
she 1
similarities 1
similarly 1
story 3
such 1
takes 1
temple 1
that 1
the 8
themes 1
three 3
through 1
to 3
town 1
unique 1
village 1
was 1
way 1
who 1
world 2
written 1
