2300924
/m/07237c
/m/07237c
Stephen Baxter

{"/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction", "/m/02xlf": "Fiction"}
a 20
abandon 1
actions 1
advanced 1
after 3
alien 2
all 1
almost 1
an 1
and 17
archival 1
are 4
around 1
arrives 1
as 3
assault 4
at 6
base 1
based 1
battle 2
battlefield 1
baxter 1
been 2
before 1
being 1
billion 1
black 7
blue 4
books 1
both 2
brutal 1
but 4
by 3
cadet 1
called 1
calls 1
can 1
capable 1
captures 1
causing 1
chandra 3
choosing 1
coalition 5
commence 1
commissary 3
commission 1
completion 1
computers 1
concentrated 1
confront 1
conquered 1
continues 1
control 1
core 1
countermeasures 1
course 1
courtmartialed 1
custody 1
defences 1
defends 1
desperate 1
despite 1
develop 2
die 1
directed 1
disaster 1
disobeying 1
disobeys 1
disrupting 1
doctrines 1
druz 1
duties 1
each 1
earth 1
effort 1
entire 1
equivalent 1
even 1
event 1
events 1
eventually 1
every 1
exotic 1
expansion 1
extinction 1
exultant 1
far 1
fasterthanlight 1
fight 2
fighter 3
first 1
foot 1
for 7
forces 1
foreknowledge 2
forged 1
fought 1
from 4
front 3
fruits 1
ftl 3
galactic 1
galaxy 1
gamble 1
governance 1
government 1
gravastar 1
gun 1
hama 1
happens 1
harming 1
has 5
he 4
hero 1
his 3
historical 1
history 1
hold 1
hole 7
home 1
horizon 1
host 1
humanity 1
humans 2
humansupremacist 1
in 6
inhabitants 1
innovative 1
instances 1
instead 1
institutions 1
intact 1
interim 1
into 1
is 9
it 3
its 1
itself 1
lauded 1
less 1
longer 1
loses 1
luru 1
made 1
mankind 3
many 1
matter 1
mdash 1
meanwhile 1
military 1
milky 2
millennia 1
more 1
most 1
mysterious 1
near 1
nears 1
new 3
nilis 6
no 1
nonbaryonic 1
not 1
now 1
numerous 1
of 19
office 1
older 1
on 4
one 2
only 1
orders 2
organisms 1
ossified 1
other 2
outrun 1
part 1
parz 1
penal 1
physics 1
pilot 1
pirius 11
plan 1
plans 2
practically 1
present 1
prevent 1
previous 2
primary 1
project 2
protagonists 1
protect 1
protestations 1
pursuing 1
rather 1
reach 1
ready 1
realise 1
realises 1
red 3
references 1
regardless 1
remain 1
remanded 1
rest 1
return 2
returning 1
returns 1
rife 1
risk 1
saved 1
scandalous 1
secrets 1
self 1
sent 1
sequence 2
set 1
shield 1
side 1
solar 1
soldier 1
some 1
sometimes 1
stalemate 1
stand 1
starts 1
stationed 1
still 1
stronghold 1
struggle 1
suicide 1
supermassive 2
surface 1
survival 1
system 1
tactics 1
taken 1
team 3
technological 1
technologies 1
technology 1
ten 1
than 2
that 5
the 51
their 1
them 1
they 2
third 1
though 1
thousand 1
three 1
time 2
titanic 1
to 25
together 1
tour 1
toward 1
transpires 1
travel 2
trial 1
truth 1
try 1
turns 1
twenty 1
two 1
understand 1
undertaken 1
unheard 1
unit 1
united 1
unlikely 1
using 1
via 1
victory 1
war 4
way 2
when 3
which 1
while 1
who 1
whole 1
whom 1
will 1
with 3
xeelee 12
year 1
years 2
younger 2
