4765358
/m/0cm49l
/m/0cm49l
Juan Rulfo
1955

a 10
about 1
abundio 1
abuses 1
account 1
after 1
age 3
all 2
alternative 1
and 13
angry 1
another 1
are 1
arms 1
as 1
at 3
attention 1
back 1
bases 1
be 2
become 1
begins 1
bells 1
belongs 1
birth 1
boy 1
buries 1
but 2
by 1
characters 1
child 1
childhood 1
church 1
cisneros 1
colima 1
comala 10
come 1
coming 1
competing 1
considered 1
constantly 1
continue 1
crosses 1
cruel 1
damiana 1
dead 4
death 1
deathbed 1
decisions 1
details 1
dialogue 1
did 1
dies 5
different 1
does 2
dolores 1
dreaming 1
dry 1
dyada 1
each 1
early 1
economically 1
eduviges 1
either 1
encounters 1
established 1
father 4
fiesta 1
finally 2
first 1
florencio 1
fragmented 1
fragments 1
friend 1
from 4
full 1
get 1
ghost 1
giving 1
happen 1
has 1
he 8
her 5
him 2
his 19
hunger 1
husband 1
idealization 1
illegitimate 1
in 10
incessantly 1
indifference 1
influential 1
instead 2
intend 1
interspersed 1
into 1
is 6
it 2
juan 10
keep 1
leaves 1
less 1
life 2
lived 1
living 2
love 4
luscious 1
major 1
makes 1
martnez 1
meet 1
mexican 1
midway 1
miguel 1
most 3
mother 3
mourns 1
much 1
narration 5
narrative 1
never 1
not 3
novel 2
of 26
omniscient 2
on 2
one 4
only 2
or 1
overtaken 1
pedro 11
perceives 1
person 3
place 1
point 1
politically 1
power 1
pramo 6
preciado 3
present 1
presented 1
promise 1
promises 1
provides 1
provoking 1
puts 1
raises 1
realizes 1
refuses 1
return 1
returns 1
rise 1
robust 1
san 5
see 1
set 1
she 3
sleeping 1
sons 1
spends 1
spirits 1
state 1
stories 1
story 1
subjective 1
subjectively 1
suggests 1
susana 5
swears 1
that 5
the 24
this 3
though 1
through 1
time 3
to 11
toll 1
town 6
true 1
trying 1
two 2
tyrannical 1
understand 1
until 1
upon 1
vengeance 1
very 1
visions 2
voices 1
was 4
we 1
when 5
who 4
whom 1
whose 1
why 1
will 2
with 3
wives 1
womanizing 1
working 1
world 1
young 2
youthful 1
