4737547
/m/0ckq08
/m/0ckq08
Rex Stout

{"/m/02n4kr": "Mystery", "/m/028v3": "Detective fiction", "/m/02xlf": "Fiction", "/m/0c3351": "Suspense"}
a 12
accident 1
accompanist 2
all 2
also 2
although 1
an 4
and 21
announces 1
anonymous 1
another 2
any 1
apartment 2
arrange 1
arrived 1
as 2
ask 1
asked 1
assembled 1
at 4
attention 1
audience 2
avoiding 1
away 1
backstage 2
balcony 1
barely 1
be 3
because 3
been 4
before 1
begins 1
below 1
bizarre 1
bottle 3
bourbon 2
but 6
buying 1
by 4
calls 1
carnegie 1
case 1
certain 1
charitably 1
chinese 1
classical 1
coins 1
collects 1
comings 1
concert 2
confesses 1
connected 1
contribute 1
contributed 1
contributors 2
convenes 1
convinced 1
cried 1
crimes 1
damn 1
death 3
decides 1
developments 1
did 1
died 2
diego 2
discuss 1
disgusted 1
disposed 1
dodges 1
does 1
dont 1
down 1
dunham 1
earlier 1
either 1
examines 1
explain 2
fall 1
father 2
fault 1
few 1
finally 1
find 1
finds 1
fingers 1
fish 1
flattened 1
focuses 1
follower 1
fool 1
for 6
former 2
fox 10
friend 3
from 3
front 1
furore 1
garda 1
gerda 1
girlfriend 1
given 1
go 2
goings 1
gorgeous 1
grabs 1
group 1
groups 1
gulped 1
had 3
hall 1
has 9
have 2
he 6
hear 1
heath 3
hebe 3
henry 1
her 6
him 1
himself 1
his 7
home 4
hurriedly 1
husband 1
identity 1
implicating 1
important 1
impulse 1
impulses 2
in 12
including 1
instinct 1
intermission 1
into 2
investigate 1
investigates 1
investigator 1
invited 1
irene 1
is 11
it 10
itself 1
jan 2
jitters 1
just 2
killing 1
leaves 1
limps 1
liquid 1
magnificent 1
mangled 1
many 1
may 1
means 2
meeting 1
mentions 1
missing 1
moment 1
money 1
months 1
morning 1
movie 2
mr 2
mrs 6
murder 1
music 2
musical 1
must 1
mysterious 2
narrowly 1
nazi 1
neighbour 1
new 1
next 1
no 3
not 4
note 2
novel 1
of 20
off 1
office 1
oh 1
on 2
onagainoffagain 1
one 2
only 2
or 1
other 2
out 1
outweighs 1
over 1
parcel 1
party 1
passersby 1
penthouse 1
people 2
performance 2
performer 1
person 3
pianist 1
piano 1
piece 2
piscus 2
poison 2
poisonous 1
police 1
pomfret 5
porcelain 2
possibility 1
post 1
poured 1
private 1
privately 1
produces 1
promptly 1
publicist 1
purchase 2
put 2
quite 1
rare 2
reason 3
reasons 1
responsible 2
return 1
returned 1
reveals 1
room 1
rush 1
sale 1
same 1
seats 1
seems 1
selfprotective 1
separates 1
set 1
she 6
shot 1
since 2
sister 1
smaller 1
so 1
socialite 1
softly 1
solution 1
somehow 1
someone 3
something 1
son 2
spectacularly 1
star 2
stole 1
stolen 1
street 1
striking 1
stupid 1
subject 1
suggested 1
suggests 1
suicide 1
summoned 1
support 1
suspects 1
sympathizers 1
take 1
takes 1
talks 1
tecumseh 2
tells 1
that 12
the 57
theft 1
their 1
then 2
these 1
this 1
throws 1
to 19
together 1
tone 1
topic 1
tracks 1
trap 1
tusar 3
two 1
uncalculated 1
unenthiastic 1
ungovernment 1
valuable 1
vanished 1
varnish 1
vase 1
veiled 1
violin 11
violinist 6
visible 1
visits 1
was 2
wealthy 1
well 1
were 1
when 3
which 1
who 3
whose 2
why 2
window 1
with 3
witnesses 1
works 1
york 1
young 3
zorilla 2
