2560765
/m/07n2yv
/m/07n2yv
Sidney Sheldon
1976
{"/m/02xlf": "Fiction", "/m/05hgj": "Novel"}
a 42
ability 1
about 4
accident 2
accidentally 1
aches 2
act 2
acting 1
actor 1
actors 1
actress 1
acts 1
admit 1
admitting 1
adult 3
affections 1
after 7
again 1
against 1
aging 1
al 4
alan 1
alive 1
all 5
allowing 1
alone 1
along 1
already 2
always 1
an 5
and 58
angered 1
another 1
are 4
army 1
around 1
as 10
asks 1
assistant 1
at 2
attack 1
attempt 2
attempting 1
attempts 1
attend 2
attention 1
avoid 1
avoids 1
away 2
baby 2
back 1
bad 3
bags 1
be 8
beautiful 2
became 1
become 2
becomes 1
before 1
begins 5
believes 1
better 2
between 1
big 1
birth 1
birthday 1
birthing 1
bistro 1
boat 2
body 1
born 3
break 1
breaks 1
breathing 1
bribes 1
brutally 1
building 1
busy 1
but 10
by 3
called 1
calls 1
can 2
cannot 1
captain 1
career 2
castle 2
catches 1
catholic 1
caught 1
cause 1
caused 1
causing 1
charm 1
chief 1
child 3
childhood 1
children 3
choice 1
choices 1
cissy 7
city 1
classmate 1
clients 1
clifton 11
climaxes 1
climb 1
college 3
come 2
comedians 1
comedy 1
coming 1
committed 1
consummate 1
continues 1
controls 1
convinced 1
convinces 2
copy 1
coworker 1
crazy 1
credits 1
cruise 1
cure 1
czinski 4
daughter 4
david 17
days 1
deal 1
death 1
decides 3
demon 1
dependent 1
depressed 1
depression 1
deranged 1
despite 1
destroy 1
devout 1
die 2
died 1
dies 3
director 1
disdain 1
distraught 1
do 3
does 1
doesnt 1
dress 1
drop 1
drugs 1
due 5
early 1
earn 1
earning 1
eileen 2
embarrasses 1
end 1
engagements 1
especially 1
events 1
everyone 1
except 1
expected 1
expecting 1
explains 1
extreme 1
extremely 1
face 2
faced 1
fails 1
falls 1
fame 2
family 3
famous 1
father 3
fear 1
feel 1
feelings 1
fellow 1
film 5
final 1
finally 2
finds 3
fired 1
fires 1
first 1
flashback 1
for 13
forced 1
forces 3
former 1
freida 1
friend 1
friends 1
friendship 1
from 1
fulfill 1
funeral 1
gain 1
gained 1
gains 1
gardener 1
gargoylelike 1
german 1
get 4
gets 6
go 2
goes 2
good 1
grew 1
grows 1
had 1
hallucinates 1
hanging 1
hangs 1
has 13
have 9
having 3
he 27
head 3
headaches 1
hears 1
heart 1
helicopter 1
help 2
her 43
heroine 1
herself 1
him 26
himself 1
hire 1
hires 1
his 27
history 1
hollywood 2
home 1
hoping 1
hospital 1
however 8
husband 1
if 1
ignored 1
immigrants 2
impregnates 2
in 20
indeed 1
indifferently 1
infatuated 1
insults 1
intention 1
into 3
is 20
it 10
jail 2
jill 20
jobs 1
join 1
josephine 8
jumps 1
just 1
kenyon 4
kenyons 1
kill 3
killed 2
knew 1
korea 1
large 2
last 1
late 1
later 5
lawrence 1
learned 1
learns 1
leave 1
leaves 3
leaving 2
left 1
letteropener 1
libido 1
lies 1
life 1
like 7
liquor 1
listless 1
lives 2
lonely 1
long 2
look 2
lookout 1
looks 2
loud 1
love 5
loves 2
mafioso 1
major 1
make 1
makes 4
mama 3
man 1
manager 2
many 2
marriage 1
married 1
marries 1
marry 5
marrying 1
meanwhile 2
meat 2
meets 4
member 1
members 1
menstruation 1
mental 1
met 1
mexican 1
mexicans 1
middleclass 1
millie 4
minimal 1
miraculously 1
mirror 1
mistress 1
months 1
more 5
mother 7
moved 1
movie 1
mrs 2
name 2
named 2
necessarily 1
new 2
nightmares 1
no 3
nobody 2
not 5
noted 1
nothing 1
notorious 1
now 2
obligation 1
odessa 3
of 19
off 1
oil 4
older 1
on 6
once 3
one 3
only 4
or 1
other 5
others 1
out 6
packs 1
paid 1
paralyzing 1
parties 1
party 1
past 1
people 5
perform 2
period 1
persuades 1
planned 1
plans 1
please 1
plotting 1
plump 1
poet 1
poetry 1
point 2
police 1
polish 1
popular 1
possess 1
power 1
pr 1
president 1
process 2
prominent 1
proposes 1
pushes 1
quietly 1
racist 1
ran 1
raped 1
rather 1
ravaged 1
reality 1
realizes 2
reason 1
reasons 1
receives 1
recognizable 1
recope 1
regain 1
relapses 1
relationship 2
remains 1
remembers 1
reputation 2
residents 1
resigns 1
resort 1
revealed 3
reveals 1
revenge 2
rich 1
rid 1
rocky 1
role 1
roles 1
ruin 2
ruining 2
rules 1
rundown 1
says 1
scammers 1
scared 1
scorned 1
screen 1
secretly 1
sees 2
send 1
sends 1
sent 1
sex 3
she 36
ship 1
shock 1
shop 2
show 2
showed 1
shows 1
side 1
since 1
sister 1
sleeping 1
sleeps 2
slept 1
slightest 1
small 2
smitten 1
so 2
someone 1
son 3
soon 3
sooner 1
south 1
span 1
spot 1
stages 1
start 2
starts 3
states 1
still 1
stops 1
story 3
stranger 1
strived 1
stroke 2
suicide 2
swimming 1
sympathy 1
technician 1
teens 1
tell 2
tells 3
temple 3
templehaus 2
texas 1
than 3
that 19
the 58
their 6
them 2
there 1
they 3
thirteenth 1
this 1
those 3
threatens 1
through 2
throughout 1
time 1
to 67
tobias 1
toby 29
told 1
too 2
top 1
topping 1
totally 1
trauma 1
trick 1
tries 1
try 1
trying 1
twenty 1
two 2
ultimately 1
unavailable 1
under 1
unfortunately 1
united 1
unknowingly 2
until 2
up 3
upperclass 1
usa 1
used 2
uses 1
using 2
want 1
wants 2
war 1
warnings 1
was 2
watch 1
water 1
way 1
wayby 1
weak 1
wealth 1
wealthy 1
wedding 1
well 1
what 1
when 11
which 1
while 1
who 14
why 3
wife 1
will 4
willing 1
wishes 2
with 27
without 2
witness 1
woman 1
womanizing 2
women 2
work 1
working 1
would 9
write 1
writes 1
years 2
yet 1
