1808856
/m/05ymh8
/m/05ymh8
Don DeLillo

28 1
a 10
across 1
act 1
against 1
along 1
also 2
amounts 1
an 2
and 6
anticapitalist 1
around 1
as 4
assassin 1
assassination 1
asset 1
being 1
betting 1
bulletproofed 1
by 6
carrara 1
caused 1
chance 1
city 1
clients 1
comical 1
computer 1
cork 1
cosmopolis 1
course 1
credible 1
day 1
described 1
drives 1
eliminate 1
employee 1
encounters 1
ensure 1
eric 1
even 1
fall 1
filled 1
finally 1
floored 1
for 2
former 1
fortune 1
fullfledged 1
funeral 1
get 1
haircut 1
has 1
he 3
hero 1
highly 1
his 6
in 3
incredible 1
inevitable 1
intrusion 1
is 7
it 1
jams 1
life 1
limo 1
lined 1
loses 2
loss 2
luxurious 1
make 1
makes 1
manager 1
manhattan 1
marble 1
meaningful 1
meetings 1
men 1
midtown 1
money 2
monitors 1
much 1
multibillionaire 1
murdered 1
noise 1
notes 1
obstructed 1
odyssey 1
of 8
old 1
only 1
order 1
other 1
own 2
packer 6
parallels 1
pastry 1
possible 1
presidential 1
procession 1
protagonist 1
rap 1
relish 1
richly 1
riot 1
rise 1
ruin 1
screens 1
second 1
seems 1
sees 1
several 1
sexual 1
so 1
spacious 1
stalked 1
stalkers 1
star 1
stopping 1
story 1
street 1
stretch 1
sufi 1
sure 1
technical 1
television 1
that 1
the 15
though 1
threat 1
through 1
to 6
traffic 1
two 2
unburdened 1
unstable 1
unsuccessfully 1
various 1
visit 1
voyage 1
way 1
well 1
which 1
who 2
wife 2
with 4
women 1
year 1
yen 1
