1978802
/m/06bjfc
/m/06bjfc
James Hogg
1824
1687 1
a 12
ability 1
able 1
about 1
absolutely 1
account 2
acquaintances 1
action 1
adoptive 1
advances 1
adviser 1
after 2
aided 1
alcohol 1
all 1
also 1
an 2
and 17
any 1
apparently 1
appearance 2
appearing 1
appears 3
are 5
arrested 1
as 6
aspect 1
assumes 1
at 1
back 1
be 8
because 1
becomes 2
before 1
behind 1
beliefs 2
birth 1
brother 2
brothers 1
brought 1
by 7
calvinism 1
can 2
cause 1
certain 1
childhood 1
children 1
chosen 1
claims 1
cliff 1
colwan 2
commit 1
companion 1
company 1
concludes 1
confession 1
confessions 1
confirmed 1
consists 1
control 1
convincing 1
correct 1
could 1
counteracted 1
couple 1
course 1
crimes 1
culprit 1
cut 1
dalcastle 1
dances 1
death 1
declared 1
decline 1
despair 1
devil 1
directs 1
disappears 1
disapproves 1
discovered 1
disrupting 1
document 1
domination 1
double 1
doubts 1
drinking 1
drinks 1
duel 1
during 2
edinburgh 1
editor 3
educated 1
elect 2
enigmatic 1
enjoys 1
eternal 1
even 1
events 1
evil 1
example 1
explain 1
explains 1
facts 1
father 1
fathered 1
feel 1
few 1
figment 1
finally 2
find 1
first 2
follow 1
following 1
for 1
found 1
friend 1
friendly 2
friends 1
from 1
further 1
george 7
georges 1
gilmartin 5
gilmartins 1
gives 2
god 1
goes 1
gradual 1
handwritten 1
has 1
have 2
he 5
heavenly 1
her 3
hilltop 1
him 5
himself 1
his 18
holds 1
how 3
however 2
husband 1
i 2
identity 1
if 1
imagination 1
implied 1
in 8
increasing 1
influence 1
inner 1
into 1
is 13
it 6
justified 1
lacks 1
laird 3
leading 1
life 3
lived 1
lives 1
loses 2
lost 1
madness 1
man 1
many 1
marriage 1
meet 1
member 1
memoir 1
memoirs 1
men 1
mission 1
mocking 1
months 1
mother 1
much 1
murder 2
murdered 1
name 1
narrated 1
narrative 2
never 1
new 1
novel 3
of 28
off 2
older 1
on 2
one 1
only 2
or 1
orde 1
order 1
over 2
own 2
part 1
people 1
person 1
personality 1
placatory 1
possible 1
predestined 2
preexisting 1
preparing 1
printed 1
private 1
prostitute 1
provoking 1
purposes 1
rabina 3
rabinas 1
radical 1
raised 1
recounts 1
regardless 1
rejects 1
religious 1
return 1
rev 1
reverend 1
reward 1
righteousness 1
robert 11
roberts 2
salvation 1
same 1
saved 1
says 1
second 2
sect 1
seen 1
sees 1
separating 1
simply 1
sinner 3
sinners 1
sky 1
so 1
some 2
son 2
soon 2
spiritual 1
sports 1
stabbed 1
starts 2
stranger 1
strongly 1
suggestions 1
supposedly 1
sword 1
tendencies 1
text 1
that 7
the 42
their 1
them 1
then 1
there 1
these 2
this 1
though 1
thrall 1
through 1
throw 1
time 1
to 21
town 1
traces 1
track 1
transform 1
turns 1
twice 1
two 2
under 1
understands 1
up 1
vision 1
was 4
weeks 1
were 1
what 1
when 2
where 1
wherever 1
which 3
who 6
will 2
with 4
witness 1
words 1
wringhim 4
wringhims 1
writes 1
young 2
