133721
/m/0_bnp
/m/0_bnp
Kazuo Ishiguro
1989-05
20 1
a 7
admit 1
admits 1
all 1
american 1
an 2
and 6
as 2
at 3
become 1
been 2
begins 1
believes 1
benn 1
birth 1
book 1
borrow 1
both 1
break 1
but 3
butler 1
came 1
car 1
close 1
coincides 1
colleague 1
come 1
conversations 1
crossing 1
dared 1
darlington 3
day 2
dedicated 1
describing 1
detail 1
dignity 1
do 1
during 1
each 1
emerges 1
employer 2
encourages 1
end 1
english 1
even 1
evidence 1
fail 1
farraday 2
father 1
feelings 1
first 2
flashbacks 1
focuses 1
for 3
forced 1
former 1
forward 1
friendship 1
from 1
future 1
grandchild 1
guise 1
has 5
have 1
having 1
he 2
her 3
hints 1
his 10
husband 1
if 1
immutable 1
in 3
increasing 2
instead 1
into 1
investigating 1
is 4
it 1
kenton 7
late 1
later 1
leading 1
letter 2
life 3
like 1
line 1
longer 1
longtime 1
looking 1
lord 3
lost 1
love 2
loyal 1
loyalty 1
marriage 1
married 2
meaning 1
mentioned 1
might 1
miss 7
motoring 1
mr 2
mrs 1
muses 1
named 1
nature 1
never 1
new 1
no 1
novel 2
occasionally 1
of 14
on 4
oncecherished 1
onetime 1
only 1
opportunities 1
opportunity 2
other 1
out 1
over 2
own 1
person 1
ponder 1
possibility 1
professional 1
progresses 1
receipt 1
receiving 1
recollected 1
reemployment 1
referring 1
reflect 1
relationship 3
remains 2
revealed 1
revisit 1
romance 1
second 1
service 2
sets 1
she 2
show 1
so 1
stevens 12
story 1
take 1
tells 1
term 1
the 22
their 3
therefore 1
this 1
times 1
to 15
together 1
towards 1
trip 1
true 2
ultimately 1
under 1
unhappy 1
up 1
war 1
wealthy 1
wellearned 1
what 1
which 2
who 1
with 8
wondering 1
working 1
world 1
years 2
