4490134
/m/0c589b
/m/0c589b
Umberto Saba
1975
{"/m/05hgj": "Novel"}
15yearold 1
16yearold 1
188 1
28yearold 1
a 6
affair 1
after 1
also 1
an 2
and 1
beautiful 1
boy 2
but 1
called 2
concentrates 1
concert 1
during 1
emilio 1
enjoyable 1
ernesto 3
experience 1
female 1
frequently 1
has 2
he 3
him 1
ilio 1
in 2
is 1
iternesto 1
living 1
man 2
meets 1
nicknamed 1
now 1
on 1
player 1
prostitute 1
romanzo 1
seeing 1
seventeen 1
sex 1
simply 1
stops 1
studying 1
subsequently 1
the 3
trieste 1
violin 2
with 3
worker 1
