25777622
/m/09v6lz4
/m/09v6lz4

2010-01-11
{"/m/01hmnh": "Fantasy"}
10th 1
11 1
11th 1
12 1
12th 1
13th 1
14th 1
15th 1
16th 1
17th 1
18 1
18th 1
1th 1
3rd 1
5th 2
7th 1
8th 1
a 14
about 1
absurdity 1
accentuates 1
accompanying 1
accused 4
accusing 1
action 1
added 1
addresses 1
adventures 1
affirms 1
after 5
again 4
against 1
akin 1
alice 8
all 1
allows 1
also 1
alternately 1
amok 1
an 3
and 22
appearing 1
are 3
argument 1
as 11
astute 1
at 4
attempt 1
available 1
away 1
back 2
battle 1
be 1
been 1
before 2
begin 1
begins 2
being 1
between 1
biscuit 1
book 2
both 2
bottle 1
box 1
breaks 1
brief 2
bulk 1
but 1
by 3
calls 2
carpenter 2
carroll 8
cast 1
cat 2
catchall 1
caterpillar 4
challenging 1
chance 1
chapters 1
characters 1
charge 2
cheshire 1
chimes 1
classic 1
clock 1
clockswithin 1
comes 2
company 1
concurs 1
conflict 1
confuse 1
consumed 1
cook 2
counsel 2
counter 1
court 5
creature 1
critique 1
crocodile 1
cunning 1
damning 2
dark 1
decisive 1
dee 1
defence 1
defending 1
defense 1
deliberate 1
demands 1
departure 3
depicted 1
detour 1
did 2
dined 1
directed 1
discovers 1
distinguishes 1
does 1
doors 1
dormouse 3
doth 1
down 1
dream 1
drinking 1
duchess 2
dum 1
during 1
earnest 1
eating 1
entirely 1
epic 1
erroneous 1
events 1
evidence 2
eye 1
fact 1
facts 1
failing 1
familiar 1
famous 1
father 1
final 4
finds 1
first 3
flattering 1
flight 2
flush 1
folding 1
follow 1
following 1
for 7
from 8
function 1
further 1
garden 1
given 1
gives 1
glean 1
growing 1
hall 1
hare 7
has 2
hatter 7
haunting 1
he 1
head 2
hearts 7
her 6
here 1
himself 1
hinted 1
his 7
how 1
if 1
illustration 1
imperious 1
impress 1
in 26
insect 1
insight 1
instead 1
instructed 1
introduction 1
is 14
it 4
itself 2
jittery 1
jury 2
just 2
juxtaposition 1
king 3
knave 3
languid 1
less 1
lesson 1
lewis 1
like 1
line 1
little 1
lookingglass 1
mad 2
main 1
major 1
making 1
many 1
march 2
mariner 1
masterpiece 1
matter 1
may 1
mechanical 1
memory 1
missing 1
more 4
most 1
much 2
muddy 1
not 2
now 1
of 25
off 2
offering 1
offers 2
old 1
on 6
once 2
one 1
only 3
opening 1
opposing 1
or 1
oratory 1
order 1
original 6
others 1
out 1
outside 1
over 2
own 1
pandemonium 1
party 1
paw 1
perking 1
pig 1
pivotal 1
plea 1
pleading 1
poem 3
poetic 2
point 1
pool 1
portrait 1
present 1
presents 1
presides 1
previous 1
previously 1
proper 1
prosecutor 1
queen 7
quoted 1
rabbit 2
rabbithole 1
rapid 1
read 1
reader 1
reading 1
ready 1
real 1
rebuke 2
rebuttal 2
recap 1
recess 1
recital 1
recurring 1
repents 1
reporter 1
respectively 1
respite 1
response 1
responsible 1
resumes 2
retract 1
returns 1
revelation 1
reverse 1
review 1
rhetoric 1
rhyme 1
rhyming 2
role 1
royal 1
run 1
same 2
second 1
sentence 1
sentiment 1
sequel 1
serve 1
serves 1
she 5
shore 1
shrinking 2
side 1
single 1
skills 1
slanted 1
sleeptalking 1
slight 1
somewhat 1
specifically 1
speech 1
spies 1
stanza 3
statement 1
story 1
subjective 1
subsequent 1
suddenly 2
swept 1
tables 1
takes 1
taking 1
tale 2
tarts 3
tea 2
tears 1
tells 1
text 2
th 1
than 3
that 7
the 124
theft 1
there 1
this 1
though 1
three 1
through 2
time 1
timeobsessed 1
titular 1
to 14
told 1
trap 1
trial 3
try 1
turned 1
turning 1
until 1
up 2
upon 2
valid 1
variation 1
verse 18
verses 2
vindicates 1
voice 1
wakes 1
waking 1
walrus 2
well 1
what 1
when 2
where 3
which 6
while 1
whiskers 1
white 1
who 3
will 1
william 1
wings 1
with 14
witnesses 1
wonderland 3
wordplay 1
worth 1
wraparound 1
yet 1
you 1
