1878393
/m/0634gn
/m/0634gn
Martin Gardner
1952
a 11
acceptance 1
accepted 1
acknowledges 2
adds 1
admit 1
against 2
allows 1
almost 2
along 1
also 1
among 1
an 1
and 9
anyone 1
anything 1
apparently 1
appropriate 1
are 7
as 5
attacked 1
attacking 1
attacks 1
attribute 1
be 5
became 1
because 1
believes 1
bizarre 1
book 2
both 2
brief 1
but 4
by 2
call 1
came 1
campaign 2
cases 3
certain 1
changed 1
channels 1
chapters 1
characteristic 1
characteristics 1
cite 1
closely 1
common 1
communication 1
community 2
comparable 1
compares 1
complex 1
considerable 1
considers 1
conspiracy 1
contributes 1
cooperative 1
crackpot 1
crank 2
cranks 3
credulity 1
defines 1
degree 1
degrees 1
demonstrated 1
describes 1
desirable 1
dishonest 1
dismissed 1
does 2
dogma 1
efficient 1
eg 1
einstein 3
else 1
encyclopedia 1
entirely 1
err 1
establishment 1
evaluated 1
every 1
everyone 1
examine 1
examines 1
excellent 1
fads 2
fallacies 1
fields 1
figure 1
findings 1
first 1
five 1
for 2
from 2
galileo 1
gardner 7
genius 1
has 1
have 3
having 1
he 7
headon 1
helping 1
her 1
himself 1
his 5
historical 1
houses 1
ideas 5
if 2
important 1
in 8
initially 1
initiation 1
inner 1
instead 1
integrated 1
introduced 1
irrational 1
irresponsibility 1
is 7
isolation 2
it 3
jabberwocky 1
jargon 1
journals 2
labels 1
later 1
like 1
likely 2
mainstream 1
majority 1
making 1
manifested 1
many 1
masonry 1
may 2
meaning 1
meet 1
met 2
most 3
name 1
necessary 1
neologisms 1
network 1
never 1
new 3
newfangled 1
not 1
notion 1
now 1
occasionally 1
occurred 1
of 21
often 2
older 1
on 1
one 1
opposition 1
or 4
other 1
otherwise 1
outside 1
paranoia 1
particular 1
pasteur 1
patient 1
permitting 1
persecution 2
phrases 1
point 1
popular 1
prejudice 1
press 1
process 2
propagate 1
pseudoscience 2
pseudoscientific 1
pseudoscientist 2
pseudoscientists 1
psychiatrists 1
psychological 1
published 2
publishing 1
questionable 1
reasons 1
recognized 1
reduced 1
regards 1
rejected 2
relativity 1
remaining 1
researchers 1
revered 1
right 1
sanctum 1
says 2
schizophrenics 1
science 2
scientific 4
scientist 1
scientists 1
second 1
send 1
shambles 1
side 1
sidestepping 1
so 1
some 1
soon 1
sound 1
source 1
spread 1
starts 1
studies 1
stupid 1
such 2
survey 1
taken 1
talk 1
tands 1
tendency 3
testing 1
that 9
the 29
their 1
them 1
theories 2
theory 1
there 2
these 2
theses 1
they 2
this 3
through 1
throughout 1
times 1
to 18
together 1
total 1
traits 1
two 1
universal 1
unwilling 1
up 1
use 1
varying 1
vast 1
view 1
was 1
way 1
ways 1
were 2
what 1
where 1
which 9
who 1
with 5
within 1
without 1
words 2
work 2
would 1
writes 1
writing 1
