27091503
/m/0br_9zy
/m/0br_9zy
Jacqueline Wilson

6 1
a 28
about 9
ace 1
acts 2
address 1
after 4
again 1
all 2
along 2
alright 1
always 1
and 63
angel 2
angry 2
announces 1
any 1
apart 1
appearance 1
are 6
around 1
arrives 1
as 13
asking 1
asks 3
assistant 1
at 8
attends 1
away 2
back 3
backstage 1
badly 1
ballet 2
be 3
because 2
becomes 3
been 1
before 2
begins 1
being 2
believes 1
best 1
big 4
bilfield 3
biological 1
birthday 2
black 1
blood 1
book 2
bother 1
boy 1
boys 2
bursts 1
but 6
by 4
call 1
called 2
cameo 1
can 3
car 1
causes 1
celebrities 1
chance 1
chanted 1
children 1
class 1
classmates 1
climbed 1
comes 3
comforts 1
competition 1
compliments 1
convince 1
could 1
couple 1
cries 1
criticized 1
crowd 1
crush 1
cuter 1
dad 6
dance 3
danny 18
darlings 2
daughter 3
day 3
debs 6
decide 1
decides 1
depressed 1
despite 1
destiny 33
didnt 1
divide 1
do 4
doctors 2
does 1
doesnt 1
doing 2
doll 1
dont 2
door 1
down 1
driven 1
driver 1
drop 1
each 2
either 1
eleventh 1
ends 1
estate 2
evening 1
eventually 2
everybody 1
everyone 3
everything 1
except 2
excitement 1
exmodel 1
explains 1
face 1
faints 1
falls 1
family 2
famous 1
fan 2
fareed 1
father 1
fence 1
fighting 2
filmed 1
find 2
finds 4
fine 1
first 1
fits 1
flat 1
flatboys 3
fool 1
for 13
forbids 1
formed 1
friend 1
friends 1
from 4
front 2
fun 2
gangs 2
garden 1
gather 1
get 5
gets 6
gifts 1
girl 3
girls 1
given 2
gives 2
go 1
goes 4
gone 1
goodbye 1
got 2
grand 1
greeted 2
group 1
groups 2
had 1
hands 1
hannah 1
happy 1
has 10
hate 1
hates 2
have 1
he 5
her 49
herself 2
high 1
highest 1
hill 2
him 6
his 4
hits 1
hold 1
home 4
hopes 1
horrible 1
hotel 1
house 2
how 2
however 1
hug 2
if 2
in 14
including 1
into 4
invited 1
is 10
isnt 2
it 10
jack 3
jacket 2
jumps 1
just 2
kate 9
kids 1
kilman 6
lady 1
last 2
later 1
laughs 1
leather 1
leave 1
leaves 1
left 1
letter 3
letting 1
lift 1
like 2
little 3
live 2
lives 1
long 1
look 2
losing 1
lost 1
louella 1
made 2
magic 1
maisonette 1
make 1
makes 2
manager 1
meaning 1
meet 1
meeting 1
meets 2
mercedes 1
mess 1
mikey 1
money 1
more 2
mother 2
mouth 2
movie 4
mr 3
much 1
mum 14
named 1
names 1
new 2
next 3
nice 1
nicknames 1
niece 1
no 2
obvious 1
of 14
off 5
official 1
on 13
one 1
only 1
onstage 1
opens 1
or 2
other 4
out 8
outfit 1
outside 1
over 1
package 1
page 1
panel 2
parked 1
party 1
pass 1
pay 1
people 1
perfect 1
perfectly 1
person 1
phone 1
place 1
play 1
pole 1
police 1
premier 2
prepares 1
pretends 1
primary 1
producer 2
proper 1
protests 1
prove 1
put 1
quick 1
raymond 1
ready 2
real 1
really 2
receives 2
recognize 1
rehearse 1
rehearsed 1
reunite 1
ride 1
ridiculous 1
rings 1
roberts 3
robin 2
rock 2
room 1
rosemay 2
rush 1
rushes 2
same 1
saying 3
says 5
school 3
scolded 1
score 1
scores 1
second 1
sees 1
send 1
sent 1
service 1
she 32
shell 2
show 11
siblings 1
sing 5
singing 2
sings 4
sister 1
sisters 1
site 1
smiling 1
so 2
some 1
song 1
speedos 3
stage 1
star 2
start 2
stay 1
stop 1
stops 1
street 1
student 1
stunned 1
sung 1
sunset 15
suzy 9
sweetie 6
sweetshop 1
take 1
taken 1
takes 2
talent 7
talk 1
talking 2
tape 1
teacher 1
teachers 1
tears 1
tell 1
tells 1
tests 1
that 4
the 58
their 4
them 8
then 2
they 10
theyre 2
thinks 2
threatens 1
throughout 1
thrown 1
tickets 2
time 1
to 41
too 1
tooth 1
train 1
transport 1
tricks 1
tries 3
turned 1
turns 3
tv 1
two 6
until 1
up 5
very 1
wait 1
wakes 3
walk 1
walks 1
want 1
wanting 1
wants 3
was 1
watch 1
way 1
weight 1
well 1
when 2
where 3
which 6
whilst 1
who 11
williams 1
with 13
won 1
wondrous 1
work 1
worrying 1
writes 1
year 1
yells 1
young 1
younger 1
