16815202
/m/040777w
/m/040777w
George Pelecanos
2000
a 6
again 1
all 1
and 4
are 1
at 1
attends 1
bar 1
begins 1
boy 2
brother 1
by 1
car 2
character 1
cop 1
counseling 1
day 1
dimitri 1
employees 1
escape 1
evil 1
family 1
father 1
forward 1
friend 1
get 1
getaway 1
goes 1
good 1
grief 1
half 1
he 2
head 1
him 1
his 1
hit 1
in 3
into 1
introduces 1
is 2
it 1
job 1
joint 1
jumps 1
karras 2
kill 1
killed 2
killers 1
leads 1
little 1
living 1
meanwhile 1
members 1
men 2
nick 1
novel 1
of 5
one 1
pizza 1
place 1
plotting 1
restaurant 1
revenge 1
rob 1
robber 1
robbers 2
robbery 1
ruthless 1
sessions 1
sets 1
showdown 1
spot 1
stefanos 1
tender 1
that 1
the 16
their 1
those 1
to 4
two 2
up 2
used 1
versus 1
waits 1
were 1
when 1
where 1
while 1
who 1
with 2
wrong 1
years 1
young 1
