26837659
/m/0bmjfyt
/m/0bmjfyt
Derek Landy
2012-09-02
4 1
a 23
about 1
accepted 1
act 1
actions 1
activate 1
after 7
against 1
all 3
allowing 1
allows 1
along 1
an 2
and 39
androdgynous 1
answer 1
apathy 1
apologize 1
are 2
arrange 1
arrest 1
arrives 2
as 8
asks 3
at 4
attack 2
attacked 2
attacking 1
attempts 3
australia 1
back 2
be 3
become 2
been 3
before 5
begin 1
being 1
believe 1
between 1
billyray 2
bitterness 1
bodies 1
body 3
boyfriend 2
bring 2
bringer 2
bringing 1
brings 1
building 1
but 11
by 9
bystanders 1
caelan 2
calls 1
can 1
carol 2
catcher 7
chase 1
check 1
china 2
chosen 1
christmas 1
claiming 1
claims 1
clarabelle 1
clearly 1
close 2
club 1
collect 1
comes 1
coming 1
community 1
complete 1
comply 1
confess 1
confirm 1
conspirators 1
control 1
correct 1
council 1
cousins 1
cover 1
crush 1
crystal 2
cure 2
dancing 1
darquesse 8
day 1
days 1
dead 2
death 3
deaths 1
decaying 1
defeat 1
destiny 1
destroys 1
dies 2
discovers 2
disturbed 1
doctor 3
does 3
doublecrossed 1
down 3
drive 1
during 1
each 1
easily 1
echo 1
effort 1
elders 1
enough 2
escape 3
escapes 3
escaping 1
everyone 1
everything 1
experiment 1
explain 1
explains 3
fails 1
family 1
feelings 1
fellow 1
few 1
fight 2
filled 1
finally 1
finbar 2
find 2
finding 1
finds 1
fletcher 4
for 11
force 3
forced 1
fought 1
four 1
frees 1
friend 2
friendly 1
from 5
fun 1
further 1
fuses 1
get 1
ghastly 6
giant 1
go 3
goes 2
gordon 1
grand 1
group 6
grouse 2
halt 1
harmless 1
has 7
hates 1
have 2
having 1
he 16
help 1
her 19
herself 1
hibernian 1
him 8
hinting 1
hired 1
his 4
holds 1
hope 1
hopelessness 1
host 1
hostage 1
hotel 1
house 1
however 7
hunt 1
if 3
in 9
incapacitating 1
insists 1
instead 2
interested 1
into 1
introduces 1
is 35
it 4
its 1
itself 1
job 1
keen 2
kenspeckle 1
key 3
kidnaps 1
kill 3
killed 2
killing 1
kills 2
knowledge 1
last 1
later 1
launching 1
lead 1
learning 1
leave 3
leaves 1
let 1
life 1
looking 1
lord 1
loves 1
macgillycuddy 1
madam 2
mage 1
magic 1
make 1
makes 2
making 2
man 2
manages 1
marr 1
matter 1
may 1
meantime 1
mentally 1
messiah 2
midnight 1
minutes 1
mist 2
more 2
mortallywounded 1
motivating 1
murdered 1
must 1
name 3
narrowly 1
nearly 1
necromancers 2
necromancy 2
never 1
new 2
no 2
normal 1
not 3
nye 2
of 10
on 11
one 4
only 3
order 2
ordered 1
orders 1
other 2
out 2
outside 1
over 2
overpowers 1
pair 2
parents 1
part 1
partially 1
parts 1
payment 1
people 2
period 1
person 1
persuade 1
plan 4
plans 1
pleasure 1
possess 2
possessed 10
possesses 2
possessing 3
powerful 1
preventing 1
proven 1
rather 1
ravel 1
real 1
reanimated 1
recalls 1
recapture 1
recovered 1
recovers 1
reeks 1
refuses 1
regard 1
regroup 1
relatives 1
release 1
remnant 11
remnants 10
removing 1
request 1
rescued 1
retrieve 1
returned 1
returns 2
reveals 2
revenge 1
roarhaven 1
run 1
sanctuary 2
sanguine 3
saved 1
says 1
scapegrace 1
seal 1
sealed 1
seals 1
searching 1
second 1
see 1
senior 1
sensitive 2
sets 1
several 2
she 16
shudder 1
side 1
since 2
skulduggery 12
so 1
solomon 2
someone 1
sorcerers 1
sorcery 1
soul 7
spends 1
split 1
spur 1
steals 1
stone 1
strength 1
struggles 1
struggling 1
subtly 1
succeeds 1
successfully 1
sunrise 1
surprise 1
suspected 1
suspects 1
suspicion 1
symbols 1
take 2
taken 2
takes 1
taking 1
tanith 11
technically 1
tells 2
tesseract 7
than 1
that 16
the 65
their 4
them 4
then 2
there 1
they 6
think 2
thinks 1
this 2
though 1
threatening 1
time 1
to 59
together 1
told 1
torment 3
towards 1
track 1
travels 1
true 2
turns 1
unable 1
unleashing 1
unwillingly 1
up 3
use 3
using 2
valkyrie 23
vile 3
virus 1
vision 1
wall 1
was 1
wasnt 1
what 1
when 5
which 5
while 5
who 6
whose 1
will 2
with 8
within 1
woorkshop 1
workshop 1
wreath 5
wrong 2
