1261289
/m/04n29l
/m/04n29l
Pascal Boyer
2001
34parasite34 1
34spandrel34 1
a 9
about 2
activation 1
activities 1
actually 1
adaptations 1
admits 1
agency 1
agent 3
agents 3
aggregate 1
all 1
also 2
an 2
ancestors 1
and 9
anthropologist 1
anthropology 2
any 1
anyway 1
are 5
as 4
assume 1
assuming 1
at 1
attend 1
aware 1
be 1
because 2
behind 1
beliefs 2
biological 1
biology 1
book 1
boyer 5
boyer3s 1
brain 1
branches 1
building 1
bullet 1
but 1
by 4
can 3
cannot 1
capacities 6
cause 2
caved 1
cites 1
classic 1
clear 1
cognitive 6
collapsing 1
common 1
comparable 2
concepts 6
conscious 1
contribute 1
counterintuitive 1
cultural 1
culturallywidespread 1
cultures 1
describing 1
description 1
detection 1
devices 1
different 1
disciplines 1
do 2
e 2
eg 1
either 1
evanspritchard 1
even 1
event 1
evidence 1
evolutionary 2
examining 1
existence 1
explain 3
explained 1
explains 1
explanation 1
face 1
favor 1
features 2
find 1
for 4
frames 1
from 4
functioning 1
gathered 1
general 1
genesis 1
get 1
gods 1
goes 1
happened 1
have 1
hear 1
his 1
house 2
how 4
however 1
human 2
hypothesis 1
i 2
imagery 1
immediately 1
in 10
incident 1
including 1
infer 1
inference 2
information 1
inkpatterns 1
instance 1
intervention 1
intuitions 3
intuitive 2
involved 1
involves 1
is 9
it 2
kind 1
know 1
language 1
learn 1
linguistics 1
magic 1
make 1
many 3
means 1
mental 4
mind 3
modular 1
modularity 1
modules 3
moral 1
morality 1
moving 1
multifaceted 1
music 2
natural 1
naturalistic 1
need 1
neuroscience 2
not 4
notions 1
occurs 1
of 24
offshoot 1
on 2
only 1
or 6
origin 1
other 1
our 2
out 1
page 1
paint 2
parasitic 3
pareidolia 1
particular 2
people 3
perception 1
perceptions 1
phenomena 1
phenomenon 1
pictures 2
play 2
pointed 1
practices 1
present 1
printed 1
process 2
processes 1
processing 2
proximate 1
psychology 3
quick 1
quite 1
read 1
reading 1
recent 1
recruit 1
recruited 2
regardless 1
relevance 1
religion 8
religious 10
repeatedly 1
require 1
requires 1
research 1
result 2
resulting 1
roof 1
said 1
salient 1
same 1
science 1
see 1
seem 1
sense 2
shootfromthehip 1
so 2
social 1
solution 1
some 2
sorts 1
sound 1
special 1
specialized 1
specific 2
spirits 1
story 1
subroutines 1
successful 1
suggests 1
supernatural 2
supports 1
systems 4
tendency 1
termiteinfested 1
termites 2
terms 1
that 13
the 26
theory 1
there 3
these 2
they 3
this 6
thoughts 1
through 1
time 1
to 11
tree 1
underlying 1
unexpected 1
upon 2
us 1
uses 1
variety 1
various 2
wanted 1
was 3
way 2
we 8
well 1
were 3
what 2
when 4
whether 1
whole 1
why 2
witchcraft 1
witches 1
with 1
within 2
without 1
zande 3
