13469186
/m/03c6c10
/m/03c6c10
Ben Mikaelsen
2002
12yearold 1
18 1
181 1
a 21
about 2
after 1
all 1
almost 1
also 1
amateur 1
among 1
an 2
and 31
angelina 4
are 6
arms 1
arrive 1
as 4
at 3
attempt 1
away 2
back 1
bandaged 1
bay 1
be 1
because 2
been 2
belize 1
beside 1
better 1
blisters 1
boat 1
bodies 1
border 1
boy 1
breaks 1
broken 1
burned 1
but 2
by 1
campesinos 1
can 2
catch 1
causes 1
cayuco 5
child 1
children 1
city 2
civil 1
compass 1
continue 1
crashing 1
cruz 1
dangerous 1
dawn 1
day 1
days 1
deported 1
destroyed 1
diarrhea 1
directly 1
doll 2
dos 1
down 2
driver 1
driving 1
drunk 1
dung 1
el 1
encounter 3
enrique 4
entire 1
entrance 1
escape 2
escapes 1
every 1
everyone 1
everything 3
except 1
expected 1
experience 1
eye 1
fail 1
fall 1
family 1
far 1
fed 1
find 2
finds 2
fish 2
fishing 1
fix 1
fixed 1
florida 1
food 3
for 1
fouryearold 1
friend 1
from 4
garbage 1
gas 1
give 1
gives 1
go 1
golfete 1
guatemala 1
gulf 1
had 1
happened 1
has 3
have 3
he 3
head 1
her 1
him 4
his 13
hope 1
hopefully 1
horse 2
hospital 1
house 1
hungry 1
in 9
indigenos 1
inland 1
instructs 1
into 7
intoxicated 1
is 2
it 3
itches 1
izabal 1
journey 4
keep 1
kekchi 1
killed 2
knows 1
lake 1
land 2
large 2
leaves 1
life 1
little 1
los 1
lose 3
lost 1
machete 1
make 2
makes 2
making 1
manure 1
many 1
map 1
mast 1
may 1
maze 1
mexico 1
midnight 1
military 1
more 1
morning 1
mother 1
nearby 1
nearly 1
nets 1
no 1
not 1
notches 1
nurse 1
ocean 1
of 7
often 1
on 5
once 1
one 1
only 1
open 1
opening 1
or 1
other 1
over 2
pail 1
parts 1
pass 1
passes 2
past 1
pirates 1
plastic 1
pushes 1
put 1
ramos 3
reach 1
rebel 1
refugees 1
ride 4
river 1
runs 1
sail 2
sailed 2
santiago 5
santos 1
sea 1
several 1
shark 1
ship 1
shore 1
should 1
shown 1
sight 1
silvia 1
sister 3
sleep 1
sneak 3
soldier 1
soldiers 1
soon 1
sores 1
spanish 1
spare 1
speak 1
states 1
steal 1
storm 3
storms 1
take 1
taken 1
tank 1
television 1
tell 2
tells 1
that 1
the 26
their 3
them 5
then 3
they 23
thirsty 1
to 15
told 1
tourists 1
tropical 1
truck 4
twenty 2
uncle 2
united 1
until 1
up 1
uses 1
vas 1
village 2
violent 1
wakes 1
walk 1
war 1
water 1
what 1
when 1
where 1
which 2
who 1
wife 1
will 1
windshield 1
with 5
