4608265
/m/0ccd6b
/m/0ccd6b
Nathaniel Hawthorne
1851
{"/m/03npn": "Horror", "/m/02n4kr": "Mystery", "/m/06_wph7": "American Gothic Fiction", "/m/02xlf": "Fiction", "/m/039vk": "Gothic fiction", "/m/050z5g": "Chivalric romance", "/m/0c3351": "Suspense"}
17th 1
a 14
about 2
above 1
accusations 1
after 2
all 1
an 1
and 15
arched 1
arrives 1
as 1
assistance 1
asylum 1
at 2
attic 1
be 2
bears 1
beautiful 1
becomes 1
bedridden 1
been 1
before 4
between 1
body 1
book 1
brief 1
brother 1
brought 1
built 2
burdens 1
but 3
by 1
can 1
century 2
chair 1
character 1
characters 1
charming 1
circumstances 1
clifford 11
committed 1
completely 1
country 1
coupled 1
cousin 1
current 1
customers 1
day 1
dealings 1
death 1
deed 1
delicate 1
departure 1
depressed 1
depression 1
descendant 1
descriptions 1
desperately 1
destroy 1
dies 2
dignified 1
disappearance 1
disclose 1
discovered 2
distant 1
does 1
due 1
dwell 1
eastern 1
ends 1
england 1
escape 1
events 1
family 4
feelings 1
for 4
form 1
foundation 1
fraudulent 1
free 1
from 5
glimpses 1
gloomy 1
grows 1
happy 1
has 2
haunted 1
have 1
he 1
hepzibah 3
her 3
him 1
his 4
historical 1
history 2
holgrave 2
home 2
house 5
however 1
humanity 1
if 1
ill 1
implied 1
in 6
information 1
innocence 1
insane 1
instance 1
interest 1
into 2
invaluable 1
involved 1
is 9
it 1
its 1
jaffrey 1
judge 6
jump 1
land 1
lands 1
large 1
late 1
later 1
leave 2
leaves 1
leaving 1
life 1
light 1
lively 1
lodger 1
lost 2
maine 1
mansion 1
mass 1
maule 2
mid1th 1
mostly 1
motive 1
murder 1
murmur 1
mysterious 1
mysteriously 1
mystical 1
named 1
new 3
no 1
not 1
novel 1
of 14
old 1
on 4
one 1
only 1
opens 1
own 1
passing 1
past 2
phoebe 7
poor 1
present 1
pretty 1
primary 1
prison 3
proving 1
pyncheon 6
quickly 1
recollection 1
refuses 1
regarding 1
relative 1
relief 1
resident 1
return 4
romance 2
room 1
rousing 1
rumored 1
same 1
sanity 1
sends 1
sent 1
serving 1
set 1
settler 1
she 3
shop 1
shortly 1
side 1
soon 1
stairs 1
stands 1
start 1
state 1
stole 1
subtle 1
sudden 3
support 1
takes 1
that 2
the 40
their 1
then 1
thing 1
thirty 1
this 1
threatens 1
throw 1
title 1
to 15
townsfolk 1
train 1
transport 1
turns 1
unfortunately 1
unpleasant 1
up 1
upon 2
urge 1
very 1
viewing 1
visit 1
was 3
wealthy 1
which 4
who 3
will 3
window 1
witchcraft 1
with 3
writing 1
years 1
young 1
youth 1
