1166383
/m/04cvx9
/m/04cvx9
Don DeLillo
1985-01-21
{"/m/05hgj": "Novel", "/m/05wkc": "Postmodernism", "/m/014dfn": "Speculative fiction", "/m/02xlf": "Fiction"}
a 15
ability 1
about 1
academic 1
access 1
across 1
addiction 1
afraid 1
after 1
afterlife 1
airborne 1
alleviate 1
also 1
an 7
and 12
another 2
anticipate 1
are 1
arm 1
as 3
ashen 1
at 1
babette 5
be 1
becomes 1
been 2
believe 1
black 3
book 4
both 1
brood 1
bucolic 1
bullet 1
but 1
by 4
called 3
car 1
carries 1
catastrophe 1
chapter 1
character 1
characters 1
cheating 1
chemical 2
child 1
children 2
chronicle 1
cloud 1
college 2
combined 1
comedy 1
confront 1
contemporary 1
continues 1
could 1
cover 1
cures 1
current 1
death 4
deaths 1
decides 1
delirious 1
denise 1
describes 1
development 1
die 1
discovers 1
discusses 1
discussion 1
distinguish 1
do 1
does 1
dominate 1
down 1
driving 1
drug 1
during 1
dylar 5
dylarama 1
effects 1
encounter 1
evacuation 2
event 1
exchange 1
experimental 1
exposure 1
extremely 1
fall 2
family 2
fear 3
fictional 1
field 1
final 1
first 2
five 1
floor 1
follows 1
for 5
forced 1
four 1
free 1
frequently 2
frightened 1
from 3
gain 1
german 2
given 1
gladney 4
god 1
gun 1
had 1
hand 1
has 5
hasnt 1
having 1
he 4
head 1
heinrich 1
here 1
highway 1
him 1
his 9
hitler 1
home 2
hospital 1
however 1
hypothesizes 1
i 1
if 1
important 1
in 13
including 1
indication 1
instance 1
into 1
introduced 2
introduction 1
is 6
it 1
its 1
jack 10
killing 2
known 1
language 1
lessons 1
life 3
like 1
little 1
locates 1
look 1
losing 1
loss 1
made 1
mainly 1
make 1
man 1
many 1
market 1
married 1
meditation 1
men 1
midwestern 1
might 1
mink 1
miraculously 1
modern 1
mortality 2
murder 1
murray 3
mylex 1
mysterious 1
name 1
needless 1
noise 2
not 2
novel 1
noxious 1
nuns 1
obsess 1
obsession 1
obtain 1
of 20
on 2
only 1
or 1
order 1
organization 1
outside 1
over 2
own 2
part 5
peeding 1
perhaps 1
pioneering 1
plane 1
plot 1
possible 1
proceed 1
professor 2
prompting 1
puts 1
radiation 1
rail 1
reality 1
realizing 1
region 1
rehearsing 1
relate 1
releases 1
replacing 1
rest 2
returns 1
riding 1
run 1
said 1
satire 1
saved 1
scene 1
second 2
section 1
seeks 1
serves 1
set 1
several 1
sex 1
shaken 1
shoots 2
short 1
side 1
simulated 1
simulations 1
simuvac 1
sleep 1
so 1
society 1
someone 2
spill 1
steffie 1
stepchildren 1
studies 1
successfully 1
suddenly 1
suicide 1
suits 1
supply 1
surviving 1
survivors 1
take 1
taken 1
test 1
that 5
the 30
thecollegeonthehill 1
their 1
them 1
themes 1
then 2
theories 1
theory 1
there 1
they 1
things 1
this 2
though 1
three 1
times 1
to 18
toxic 1
toxin 1
tracking 1
treatment 1
tricycle 1
two 1
until 1
watch 1
waves 1
ways 1
went 1
which 4
white 2
who 5
wife 1
wilder 2
will 2
willie 5
with 3
women 1
wonder 1
words 1
work 1
would 1
year 2
youngest 1
