10954039
/m/0817j4
/m/0817j4
Koji Suzuki

a 17
after 3
agreed 1
aim 1
alive 1
alone 1
amano 4
an 3
analysis 1
analyzed 3
and 10
angles 1
animals 1
another 1
around 1
as 1
bad 1
be 4
because 1
becomes 1
born 1
both 1
but 3
by 2
called 1
cancer 2
cancermhc 1
child 1
clone 2
cloned 1
complete 1
computer 1
continues 1
contracted 1
could 3
course 1
created 1
creator 1
cure 1
dead 1
deadly 1
death 2
desperate 1
details 1
die 1
died 1
different 1
discussion 1
disease 1
doing 1
emergence 2
encounter 1
enters 1
escaped 1
event 1
events 2
everyone 1
everything 1
exceptional 1
falls 1
father 2
find 2
finds 1
for 1
from 1
futami 1
gift 1
gloves 1
goggles 2
had 1
has 3
he 13
her 1
hero 1
him 9
his 3
human 1
hundred 1
immune 1
immunity 1
in 13
insert 1
into 1
intrigued 1
investigations 1
involved 3
involving 2
is 5
it 2
kaoru 12
knew 1
know 1
known 1
knows 1
lab 2
last 1
later 1
lead 1
leaving 1
life 2
loop 11
love 1
machine 1
made 2
makes 1
man 4
massive 1
meaning 1
medical 1
meets 1
metastatic 1
mexico 1
mhc 3
might 1
minutes 1
molecularized 1
molecules 1
must 1
mutated 1
named 4
new 1
novels 1
object 1
of 10
old 3
on 1
one 1
only 2
order 1
out 1
over 1
pair 1
person 1
plants 1
pregnant 1
previous 1
project 2
promised 1
reality 1
recreate 2
reiko 5
revealed 1
revolves 1
ring 2
ryuji 4
same 1
saved 1
scientist 2
see 1
sees 2
side 1
simulate 1
simulation 1
sitting 1
some 1
stars 1
still 1
storm 1
story 1
strung 1
student 1
such 1
supercomputer 1
supercomputers 1
surviving 1
telling 1
tells 1
that 12
the 31
them 1
then 1
there 2
they 1
thing 1
thinking 1
though 1
through 1
to 12
together 1
transferred 1
tries 1
truth 1
turned 1
unable 1
ventures 1
venturs 1
verge 1
virtual 1
virus 3
vr 1
vulnerable 1
wanted 1
was 9
watching 2
what 2
when 1
where 1
which 2
who 1
whose 1
wife 1
with 6
woman 2
womb 1
wont 1
