5278111
/m/0dc6sm
/m/0dc6sm
Paula Danziger
1974
a 13
abhorred 1
about 1
abusive 1
administration 1
administrators 1
admits 1
after 2
against 3
alexander 1
allegiance 2
ally 1
along 1
also 3
always 1
amplycontoured 1
an 3
and 21
anderson 1
apart 1
are 4
as 5
at 1
attending 1
attorney 1
attracted 1
back 1
barbara 1
be 4
bear 1
because 3
becomes 1
becoming 1
being 1
believes 1
besides 1
betrayed 1
bibliotherapy 1
board 3
books 1
both 2
boy 1
brings 2
brother 1
but 2
by 5
called 1
car 1
carry 1
case 2
classes 2
closer 1
club 1
colleagues 1
college 1
come 1
comes 1
coming 1
community 1
completely 1
counseling 1
court 1
dad 1
day 1
defense 2
divided 2
doesnt 1
due 2
during 2
education 1
ends 1
english 2
even 1
eventually 1
everywhere 1
excuses 1
expectations 1
failing 1
family 1
father 5
feel 2
fiercely 2
fight 1
fighting 1
figure 1
find 1
finney 9
finneys 1
fired 1
firing 1
follows 1
for 5
forward 1
four 1
freshman 1
friend 3
friends 6
from 1
gains 1
get 1
girl 1
goes 1
going 3
goldman 1
good 2
got 1
grows 1
gym 2
has 3
hates 1
he 1
hearing 2
help 1
her 29
him 1
hires 1
his 3
however 2
immediately 1
impossible 2
in 9
including 1
insecurity 1
interests 1
into 1
involvement 1
is 4
isnt 1
issue 1
it 1
jealous 1
job 1
joel 3
joins 1
keep 1
kids 1
large 1
later 2
legal 3
lessons 1
lewis 2
life 2
like 3
lily 6
line 1
listen 1
local 1
looks 1
loss 1
lot 2
mainly 1
make 1
marcy 19
martin 3
material 1
meets 2
methods 1
more 1
most 2
mother 3
mothers 1
move 1
mr 4
ms 9
much 1
named 1
nancy 5
new 2
night 1
normal 1
observe 1
of 13
on 1
once 1
one 2
only 2
over 1
parents 2
part 1
participated 1
pits 1
pledge 2
popular 1
precedent 1
president 1
principal 2
proper 1
protest 2
pta 2
punishes 1
realizing 1
reasons 1
refuses 2
refusing 1
reinstates 1
relationship 1
reluctantly 1
resigns 1
result 1
returning 1
robert 1
sabotage 1
same 1
say 2
school 5
seeing 1
seems 2
sets 1
she 11
sheridan 1
should 1
sides 3
siding 1
situation 2
smedley 1
so 1
some 1
sometimes 1
son 2
speak 1
stand 1
start 1
still 1
stone 5
story 2
strained 1
stuart 1
students 3
suddenly 1
support 1
suspended 1
syllabus 1
take 1
takes 1
teacher 3
teachers 1
teaches 1
teaching 2
techniques 1
teddy 1
tends 1
that 5
the 31
their 1
themselves 1
then 1
there 1
they 3
thirteenyearold 1
this 1
threatened 1
through 2
to 21
told 1
torn 1
trying 1
understand 1
unlike 1
unorthodox 2
unpatriotic 1
up 2
use 1
using 1
verbally 1
very 1
vice 1
was 4
well 1
were 1
when 1
which 1
who 6
whose 2
willing 1
with 12
wolf 1
work 1
works 1
would 1
writing 1
year 1
younger 1
