143827
/m/0125_x
/m/0125_x
Ira Levin
1988-10-21
{"/m/01jfsb": "Thriller", "/m/014dfn": "Speculative fiction", "/m/02xlf": "Fiction"}
13 1
174 1
18 1
23 1
4 2
65 1
a 12
about 3
according 1
activating 1
adolf 1
against 1
aged 1
all 3
already 1
an 1
and 7
angel 1
are 4
as 1
assignment 1
at 1
attempt 1
be 3
before 1
being 1
book 1
brazil 1
but 3
by 3
call 2
camp 2
can 1
center 2
children 1
civil 2
claims 1
clone 1
clones 3
coincidence 1
collection 1
common 1
concentration 1
conversation 1
create 1
crimes 1
criminals 1
danger 1
dangerous 1
dates 1
death 2
delusions 1
determine 1
developing 1
discovers 2
do 1
doctor 1
documents 1
dogs 1
down 1
dr 1
during 2
each 2
eavesdropping 1
encounters 1
ends 1
ensure 1
eventually 1
experiments 1
father 2
fathers 1
few 1
fhrer 1
finish 1
finished 1
first 1
follow 1
for 2
forced 1
from 1
genetic 1
grandeur 1
halted 1
has 3
have 2
he 7
hesitates 1
him 3
his 2
hitler 5
holocaust 1
horrible 1
however 1
humanity 1
hunter 1
identical 1
if 1
ii 1
in 5
intended 1
interest 1
investigates 1
is 11
it 1
josef 1
just 1
kameradenwerk 1
kill 1
killed 4
killing 2
killings 1
kills 1
liebermann 6
life 1
lives 1
lodgings 1
lost 1
man 6
manages 1
married 1
may 1
medical 1
men 4
mengele 6
mimic 1
move 1
movement 1
nations 1
nazi 3
nazis 1
new 1
of 15
old 1
on 3
one 2
or 1
out 2
over 1
own 1
particular 1
path 1
performed 1
perpetrated 1
phone 1
place 1
plan 1
planted 1
prank 1
reaches 1
receives 1
runs 1
seemingly 1
sending 1
september 1
servant 1
servants 1
several 1
share 1
shot 1
similar 1
six 1
socalled 1
son 1
spoke 1
spread 1
strange 1
taking 1
targeted 1
targets 2
that 5
the 28
their 3
them 1
then 2
time 1
to 14
tracking 1
traits 1
transpires 1
travels 1
tries 1
trying 1
two 1
unimportant 1
victims 1
vienna 1
waning 1
war 1
warn 1
was 1
western 1
what 1
who 4
why 1
will 1
wishes 1
with 1
woman 1
wonders 1
work 1
world 1
yakov 1
years 3
young 4
younger 1
