4643023
/m/0cf4t7
/m/0cf4t7
Charles Sheffield

{"/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction", "/m/02xlf": "Fiction"}
150 1
a 51
able 2
accept 1
access 1
accident 1
acting 1
addition 1
administrative 1
admits 1
admitted 1
adopted 1
advice 2
affairs 2
after 4
again 1
ago 1
alive 2
all 7
allow 1
alone 1
along 1
already 2
also 3
alternative 1
although 1
an 5
and 57
animal 1
annoyed 1
anomaly 1
another 4
any 1
anyone 1
apparently 1
applied 1
are 8
arm 1
around 1
arrange 1
arrives 2
arriving 2
articulate 1
as 5
asks 2
assigned 1
assuming 1
asteroid 1
astonished 1
at 8
atmosphere 3
attempt 3
attempted 1
attempting 1
attempts 2
aware 1
aybee 4
back 6
backwater 1
banks 1
barely 1
be 4
bec 11
because 1
becoming 1
been 10
before 2
beginning 1
behind 3
berates 1
bey 24
biological 1
boating 1
body 1
bore 1
both 1
breaking 1
breaks 1
breathing 1
brick 2
brilliant 2
brought 1
browsing 1
but 8
by 11
call 1
called 1
can 1
capman 6
case 1
castle 2
cerebral 1
certain 2
cesspool 1
chamber 1
change 12
charter 1
child 1
chose 1
cities 1
civilization 1
claims 1
close 1
cloud 1
cloudlander 1
cloudlanders 1
clues 1
cold 1
coldtolerant 1
colonists 1
colony 5
coma 1
comets 1
complex 1
concluded 1
confront 1
confronts 1
connected 1
conspiracy 1
constraints 1
contact 1
contacts 1
continue 1
continued 1
contract 1
contribute 2
control 1
convince 1
convinced 1
coordinated 1
corporation 2
could 4
coverup 1
culling 1
curious 1
currently 1
customized 1
cynicism 1
dangerously 2
database 1
deaf 1
dearborn 4
death 1
decides 1
deep 1
defects 1
denzel 2
descendants 1
design 1
designed 1
detective 1
dinner 1
discover 1
discussed 1
distant 2
diversionary 1
during 1
ears 1
earth 3
efforts 3
emergency 1
encourages 1
enforce 1
engineering 1
engineers 1
enjoy 1
enlists 1
enormous 2
entire 1
equator 1
equipment 4
escalator 1
estate 1
even 2
eventually 1
every 1
evidence 1
evolve 1
experience 1
expert 1
experts 1
explain 1
expresses 1
eye 1
fact 1
failed 2
failure 1
fairly 1
faked 1
fall 1
falls 1
false 2
family 1
far 1
fascinated 1
favor 1
fear 1
feral 1
financed 1
financial 1
find 3
first 1
flawed 2
flaws 2
flight 1
floating 1
for 12
force 1
foresee 1
form 18
forms 4
found 1
foundation 3
founded 1
fragmenting 1
friend 1
from 3
fugate 4
fugates 2
full 1
further 2
futile 1
future 2
generally 1
generations 1
genius 2
georgia 2
giving 1
goal 1
goals 1
got 1
gracious 1
gradually 1
great 2
greatest 1
growth 1
guide 1
had 3
hardware 1
