853835
/m/03hdp2
/m/03hdp2
Walker Percy
1961
a 3
alienated 1
an 1
and 9
anyone 1
around 1
as 1
ask 1
at 1
authors 1
binx 2
bolling 1
books 1
by 1
career 1
challenged 1
chicago 1
coast 1
constantly 2
dark 1
daydreams 1
decline 1
define 1
despite 1
didactic 1
easily 1
embarks 1
engaging 1
episodes 1
everydayness 1
existentialist 2
experiences 1
extensively 1
family 2
famous 1
fellow 1
finds 1
first 1
follows 1
for 1
friends 1
from 1
gulf 1
has 2
have 1
he 4
heavily 1
him 1
himself 1
his 6
if 1
immediacy 1
in 7
including 1
influenced 1
interactions 1
is 6
it 3
kierkegaard 1
korean 1
lasting 1
later 1
least 1
left 1
life 3
light 1
like 2
loose 1
many 1
me 1
meaning 1
more 1
most 2
moviegoer 2
movies 1
nature 1
new 2
not 1
novel 3
novels 1
of 7
on 2
open 1
orleans 2
overlooked 1
own 3
percy 3
philosophically 1
plot 1
poetic 1
possibility 1
postwar 1
praised 1
problems 1
read 1
really 1
reflecting 1
relation 1
relationships 1
remain 1
routine 1
search 3
simple 2
small 1
so 1
southern 1
sren 1
stockbroker 1
story 1
sunk 1
sweethearts 1
tells 1
than 1
that 1
the 15
themes 1
to 4
tone 1
tradition 1
traumatic 1
trouble 1
undefined 1
undertake 1
unlike 1
urge 1
us 1
vague 1
very 1
wandering 1
war 1
was 1
were 1
what 2
whom 1
widely 1
work 1
would 1
you 1
young 1
