21585491
/m/05ms_nc
/m/05ms_nc


{"/m/02p0szs": "Historical fiction"}
145 1
a 17
adopted 2
adoptive 1
after 4
again 2
alive 1
all 6
along 2
also 2
american 1
an 1
and 28
anechka 3
announces 1
anthem 1
any 1
anything 1
appear 1
april 1
are 5
army 1
around 1
as 7
ask 1
association 1
at 4
aware 1
away 3
back 3
barn 1
basement 1
be 1
been 2
being 1
berlin 2
blonde 1
boys 1
brings 1
brother 3
brutal 1
building 1
buried 1
but 5
by 6
called 1
camp 7
catches 1
causing 1
center 1
cheerful 1
classmates 1
clearly 1
close 1
closer 2
come 2
comes 1
coming 1
completely 1
composed 1
concentration 3
could 2
cousin 1
cross 2
czech 3
czechoslovakia 1
czechoslovakian 1
daughter 1
day 2
days 1
dead 1
decide 1
declared 1
detained 2
devastated 1
died 1
discovering 1
discovers 1
during 1
each 1
elsbeth 4
enabling 1
encircled 1
eva 5
evamilada 1
explains 1
family 7
father 3
feature 1
features 1
feelings 1
female 3
few 2
finally 1
fits 1
for 4
forgets 1
franziska 1
from 4
fronts 1
frstenberg 1
gerdeand 1
german 5
germans 1
get 1
girl 2
girls 2
go 1
government 1
grandma 1
grandmother 2
grave 1
hair 1
happened 1
hard 2
harm 1
has 3
have 2
having 1
head 1
hears 1
held 1
her 24
hiding 2
high 1
his 1
hitler 1
horrible 1
horrific 1
house 7
household 1
houses 1
ideal 1
identity 1
ilsa 1
in 14
including 1
indeed 1
inhabitants 1
into 1
is 20
its 1
jaro 2
judged 1
kralicek 1
language 1
later 2
launched 1
learn 1
learns 1
leave 1
left 1
leise 1
lidice 3
little 1
live 2
lives 1
looking 2
losing 1
lots 1
made 1
manages 1
marci 1
massive 1
may 1
meaning 1
medic 1
meets 1
memories 1
memory 1
men 1
milada 12
moment 1
month 1
mother 8
move 1
mutter 3
name 1
nazi 2
nazis 2
near 2
nearly 2
nick 1
not 1
notices 1
of 13
office 1
official 1
on 2
once 1
one 2
only 1
other 5
outside 2
over 1
papers 1
penetrates 1
people 1
perfect 2
person 1
peter 2
picnic 1
poland 1
polish 1
possibly 1
prague 2
pride 1
prisoners 1
protect 1
pucshkau 1
ravensbruck 3
really 1
recognizes 1
recover 1
red 3
remember 2
renamed 1
rest 2
ruined 1
russian 1
sadly 1
same 1
school 1
scratch 1
search 1
see 1
seem 1
sent 1
separated 2
separation 1
several 1
she 17
shelter 1
shot 1
siegrid 1
singing 1
sister 3
smell 1
so 1
soldiers 1
some 2
something 1
somewhere 1
soviet 1
spends 1
staff 1
steps 1
strange 2
sufficiently 1
sung 1
taken 2
taking 1
teenage 1
tell 1
tells 1
that 15
the 45
their 4
them 1
themselves 1
then 1
they 4
this 3
time 4
times 1
to 17
together 1
told 1
trained 1
troops 2
true 1
two 1
unpleasant 1
vater 4
village 1
walking 1
war 2
was 2
well 1
were 3
werner 2
what 1
where 1
while 1
who 3
with 6
without 1
works 3
years 1
young 1
younger 1
