5435899
/m/0dls77
/m/0dls77
Leslie Charteris
1937
130s 1
2 1
a 7
after 2
afterword 1
already 1
also 1
an 2
and 6
annual 1
arbour 1
as 2
assisted 1
at 1
beaten 1
become 1
been 1
being 1
blitz 1
book 1
bring 1
but 1
by 1
canary 1
charteris 3
club 4
complicated 1
composed 1
cover 1
cut 1
cutter 4
daughter 3
death 1
despite 1
diamond 4
diamonds 1
does 1
done 1
doublecrossing 1
down 2
dues 1
during 1
dutch 1
each 1
east 1
editions 1
elderly 1
entitled 1
equivalent 1
fact 1
fan 1
finds 1
follow 1
for 2
founded 1
freelance 1
frequent 1
from 4
gang 4
go 1
had 1
half 1
has 2
hasnt 1
have 1
he 3
hired 1
his 5
hoppy 2
how 1
idea 1
ii 1
in 4
include 1
infiltrates 1
instability 1
intended 1
intercepts 1
invites 1
is 4
islands 1
jewelsmuggling 1
join 1
last 2
later 1
learns 2
located 1
london 1
lottery 3
man 3
member 1
members 1
message 2
million 1
missing 4
more 1
mysterious 1
name 1
not 1
now 1
of 5
old 2
only 1
other 1
out 1
plans 1
posing 1
possession 1
readers 1
recovering 1
reluctant 1
replace 1
rescue 2
ring 3
saint 2
sebastian 1
sets 1
sidekick 1
simon 1
slightest 1
smuggling 2
so 1
some 1
soon 1
spain 1
sparked 1
start 1
still 1
support 1
templar 6
tenerife 1
thanks 1
that 6
the 28
they 1
things 1
this 3
ticket 4
time 1
to 13
tombs 1
track 1
trail 1
trip 1
uniatz 1
using 1
war 1
was 1
went 1
when 1
where 1
which 3
who 1
within 2
word 2
work 1
world 1
worth 1
writes 1
youth 1
