3129981
/m/08tckw
/m/08tckw
Douglas Coupland
2001
{"/m/014dfn": "Speculative fiction", "/m/02xlf": "Fiction", "/m/05hgj": "Novel"}
a 5
after 1
and 3
anything 1
are 1
armed 1
array 1
at 1
attempts 1
baby 1
bahamas 2
beach 1
black 1
blast 1
book 2
but 1
by 1
casket 1
center 1
containing 1
daytona 1
death 1
deliver 1
destined 1
diana 1
disney 2
drug 1
drummond 3
drummonds 1
early 1
estrangement 1
events 1
everything 1
family 3
flashbacks 1
focus 1
foibles 1
for 1
from 2
gathering 1
geriatric 1
group 1
happens 1
hiv 1
however 1
in 4
include 1
intricacies 1
is 4
kennedy 1
letter 1
linear 1
lords 1
many 2
market 1
men 2
misfits 1
miss 1
nearby 1
novel 4
of 7
off 1
on 2
package 2
personal 1
pharmaceutical 1
plot 4
points 1
prince 1
princess 1
receive 1
reunite 1
robbery 1
rocket 1
sales 1
sarah 1
several 1
similar 1
start 1
stolen 1
style 1
suicide 1
tale 2
temporally 1
that 1
the 19
their 1
them 1
they 1
this 1
to 7
together 1
told 1
travel 2
vancouver 1
walt 2
watch 1
way 1
where 1
wide 1
william 1
with 2
world 2
written 1
wyoming 1
years 1
