9026250
/m/027tztm
/m/027tztm
Sean McMullen
2001
{"/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction"}
a 2
airplanes 1
american 1
americans 1
an 1
and 3
are 2
at 1
australia 2
back 1
been 1
beings 1
bring 1
calculor 1
can 1
capital 1
comes 1
components 1
computer 1
defunct 1
destroying 1
earth 1
electrical 1
for 1
from 2
functioning 1
group 1
had 1
highliber 2
however 1
human 1
it 1
large 1
life 2
machines 1
mirrorsun 1
must 1
new 1
of 3
orbits 1
overmayor 1
prevents 1
reform 1
rochester 1
same 1
some 1
stop 1
technology 1
the 7
their 2
time 2
to 3
underground 1
vengeance 1
way 1
weapons 1
when 1
which 1
whose 1
with 2
working 1
