8663345
/m/027d2k6
/m/027d2k6
Pat Conroy
1976
162 1
a 5
acceptance 1
africanamerican 1
alternately 1
an 2
and 8
as 3
at 1
based 1
basketball 1
before 1
ben 3
between 1
book 1
bull 2
calls 1
carolina 1
character 1
childhood 1
classmate 1
col 1
conroy 4
donald 1
effort 1
experiences 2
explores 1
exposes 1
family 4
farmer 1
father 3
fighter 1
fit 1
follows 1
for 2
friendships 1
goes 1
great 2
growing 1
growth 1
hand 1
hardnosed 1
he 2
high 1
himself 1
his 6
in 4
inspiration 1
into 2
is 4
it 1
jewish 1
lengths 1
love 1
lovehate 1
loves 1
lt 1
main 1
makes 1
manhood 1
marine 2
meecham 4
military 1
move 1
novel 3
of 2
on 1
own 2
pilot 1
playing 1
point 1
ravenel 1
relationship 1
runs 1
santini 3
school 1
service 1
set 1
south 1
story 1
strict 1
struggle 1
tells 1
that 2
the 16
they 1
to 4
town 1
turn 1
up 1
vietnam 1
war 3
warrior 1
was 1
well 1
who 1
wilbur 1
win 1
with 3
without 1
