11123616
/m/02r0s03
/m/02r0s03
William Boyd

102 1
103 2
136 2
187 1
2265 1
30 1
a 46
abdomen 1
abilities 1
able 1
about 9
accompanied 1
accompany 1
acute 1
aeroplane 1
affair 1
afloat 1
after 3
afternoons 1
again 5
against 1
air 1
aishlie 1
all 1
already 1
also 7
although 1
amberwayrichault 1
american 4
an 15
anaesthetic 1
and 81
anethetist 1
angeles 1
annaliese 3
another 2
antediluvian 1
apathy 1
apparent 1
appear 2
appears 1
appendicitis 1
archibald 2
architect 2
architectural 1
are 6
around 1
arrange 1
arranges 1
arrested 1
arriving 1
arrow 1
as 11
asked 1
asking 1
asks 3
assignments 1
assists 1
astounded 1
at 11
attend 1
attended 1
attending 1
attraction 1
avoid 1
away 2
axel 1
axels 1
baby 1
back 4
backyard 1
barn 3
batangas 1
be 9
beating 1
because 1
becomes 1
been 5
before 5
being 1
believes 3
believing 1
between 1
blood 1
boarding 1
boat 2
bobby 9
body 11
book 2
both 2
bowled 1
braun 1
breaks 1
bridge 1
brothels 1
build 1
building 1
built 2
bullet 1
but 10
by 29
calle 1
called 5
calls 1
came 1
can 1
carriage 1
carriscant 26
carriscants 1
celebrated 1
check 1
chest 1
chief 1
chloral 1
church 1
circus 1
coldness 1
colonel 3
colonels 1
comes 2
company 1
complaining 1
complete 1
completed 1
concerned 1
conditions 1
confronted 1
connection 1
consists 1
constables 1
constabulary 1
consulting 1
contact 2
cooks 1
cordite 1
corporal 1
corpse 1
couch 1
could 1
couple 1
covers 1
crank 1
crashing 1
creek 1
crowd 1
cruz 7
cruzs 1
cum 1
cup 1
dashes 1
date 1
daughter 2
day 4
dead 4
death 1
decides 2
defrauded 1
delphine 10
detective 1
develop 1
died 3
different 1
director 1
discovered 1
discovers 2
discussed 1
disgusted 1
dismisses 1
distant 1
distracted 1
district 1
divorced 1
doctor 4
does 3
doing 1
domestic 1
down 5
dr 7
dressing 1
drop 1
drs 1
drunk 1
dumps 1
during 1
duty 1
dweller 1
each 2
earlier 1
early 1
easier 1
effect 1
effects 1
embassy 1
encounters 1
ending 1
engine 1
engineer 1
englishman 1
enmity 1
enquiring 1
ensues 1
enthusiast 1
ephraim 1
eric 2
evening 2
eventually 1
every 1
examination 1
examine 2
examines 1
exhusband 1
expartner 1
expected 1
experiment 1
exposed 1
eyes 1
fallen 1
falls 2
family 2
fanciful 1
father 4
fe 1
feeling 1
feels 1
female 1
fiercest 1
fight 2
filipino 1
finally 2
finances 1
find 4
finds 2
finished 1
fire 2
first 1
fischer 1
five 1
flies 1
flight 2
flores 1
flying 1
foetus 1
for 12
forced 1
foreman 1
found 3
four 1
friends 1
from 6
function 1
garden 1
gardenia 1
gerlinger 1
german 1
germany 1
given 2
gives 3
glad 1
glasgow 1
glass 1
go 1
goes 2
going 2
got 1
governor 2
great 1
grief 1
guinea 1
had 1
happened 1
has 20
hauled 1
have 2
he 48
head 1
headmistress 1
heart 3
help 1
her 53
here 2
hernia 1
hers 1
higher 1
highly 1
him 26
himself 2
hired 1
his 31
hole 1
holes 1
hollywood 1
home 3
hospital 8
hours 1
house 7
housed 1
however 6
hugh 1
husband 1
ice 2
icecream 1
if 2
ignore 1
ill 1
implicate 1
in 51
informs 2
insurgents 1
interest 1
interrupt 1
interrupted 2
into 5
introduced 1
inventory 1
is 59
isidro 1
islanders 1
