25992211
/m/0b6lhh3
/m/0b6lhh3
Robert B. Parker
2007
{"/m/0lsxr": "Crime Fiction"}
187 1
a 17
accusation 2
added 1
after 3
again 1
alan 3
also 3
an 3
and 25
another 1
any 1
apartment 4
apparent 1
appears 1
around 1
arresting 1
as 4
asks 1
assistance 1
assistant 1
at 1
back 2
baltimore 2
be 4
beach 1
because 1
becoming 1
been 1
before 2
begins 2
believes 1
best 1
blackmail 1
bodies 1
body 4
bodyguard 3
both 1
busted 2
but 2
by 5
calculation 1
car 1
case 1
check 1
chief 2
child 1
committing 1
concerning 1
confesses 2
confirms 2
confronts 1
confuse 1
conrad 1
continue 1
convictions 1
convinced 3
cop 1
could 3
counting 1
crime 1
criminal 1
daddy 1
daniels 1
day 1
days 1
dead 1
death 1
determines 1
discovered 1
discovering 1
discovers 2
discovery 1
divorce 1
divorced 1
divorcing 1
do 2
does 1
doesnt 1
drags 1
dumb 1
dumps 1
dumpster 2
during 1
empire 1
end 1
ended 1
essentially 1
evening 1
everything 1
examination 1
expected 1
exwifes 1
exwives 1
figure 1
finally 1
finds 2
first 1
for 3
formerly 1
fortune 1
found 2
frequent 1
friend 1
friendship 1
from 1
further 1
get 1
giving 1
glass 1
going 2
got 2
governor 2
guard 1
guest 1
gun 2
had 3
hanging 2
hangs 1
has 2
have 1
having 1
he 16
head 1
heir 1
held 1
hendricks 3
her 6
herself 1
high 1
him 7
himself 1
his 13
home 1
host 1
hounded 1
house 1
how 1
however 1
if 4
in 12
incident 1
influential 1
interesting 1
interrogates 1
interview 1
interviewing 1
into 1
investigation 4
is 8
island 1
it 5
jack 1
jesse 12
jesses 1
job 1
kill 2
killer 1
kills 1
knowing 1
later 2
laurie 8
leading 1
leads 1
learns 1
leave 2
leaves 1
leaving 1
led 1
libertarian 1
life 1
liking 1
little 1
local 1
long 2
lutz 15
man 1
manager 1
married 2
massachusetts 1
material 1
media 3
medical 1
mess 1
mistress 4
money 1
most 1
national 1
near 1
new 4
night 1
no 1
not 1
nothing 1
novel 1
now 2
nypd 1
of 14
officer 3
on 6
once 3
one 2
only 1
onto 1
out 4
over 1
paradise 2
park 2
part 1
person 1
personal 1
personality 1
planned 1
plot 1
police 2
ponder 1
pregnant 1
probably 1
profile 1
pulls 1
questioned 1
radio 1
records 1
refrigerator 1
research 1
resentment 1
restaurant 2
revelation 1
rich 1
same 2
second 1
secure 1
see 2
seems 2
serial 1
several 2
sex 1
she 8
sheriff 1
shoot 1
shoots 2
shot 2
show 1
shows 1
simpson 2
sleeping 1
small 1
so 2
soon 1
spending 1
stake 1
station 1
stiles 1
stone 7
stop 1
stores 1
struck 1
sugar 1
suicide 2
suitcase 2
take 1
talk 1
tape 1
taped 1
television 1
tells 2
that 16
the 42
their 2
them 2
then 3
there 2
they 4
thickens 1
this 8
through 1
time 2
times 1
to 28
together 1
took 2
town 1
tree 2
tries 1
trying 1
turns 2
twist 1
unborn 1
unimportant 1
until 1
up 5
very 1
victim 1
visiting 1
walk 1
walter 1
was 10
weeks 16
weekss 7
what 1
when 5
where 1
which 1
while 3
widow 1
widows 1
wife 2
will 1
with 7
without 1
witness 1
woman 1
womanizer 1
word 1
working 1
would 1
writing 1
york 1
young 1
