1365983
/m/04x1ss
/m/04x1ss
William Faulkner
1962
{"/m/02xlf": "Fiction", "/m/05hgj": "Novel"}
20th 1
a 14
able 1
about 1
accompanies 1
acts 1
actually 1
after 2
against 1
age 1
all 1
also 1
an 2
and 10
as 1
aspects 1
at 3
attempts 1
away 1
basic 1
be 1
become 1
becoming 1
behind 1
bet 1
better 1
black 3
blackmails 1
blood 1
boon 7
boy 3
bribing 1
brothel 2
burst 1
but 2
by 2
called 3
can 1
car 3
century 1
child 1
climax 1
comes 3
contact 1
convinces 1
coppermine 4
corinthia 1
corrie 5
county 1
courtship 1
cousin 2
curses 1
decade 1
defend 1
degrades 1
determines 1
disappears 1
discover 1
distant 1
do 1
does 1
down 1
embodies 1
ends 1
enough 1
eventually 1
ever 1
everbe 1
faced 1
family 2
fast 1
faulkner 1
few 1
fights 1
final 1
first 4
foil 1
for 3
friend 1
genteel 1
get 2
go 1
grandfather 4
hand 1
has 3
have 1
having 1
he 7
help 1
her 1
him 3
his 4
hogganbeck 1
honest 1
honor 1
hopes 1
horse 4
horses 1
humanity 1
idealized 1
illicit 1
in 8
into 2
involves 3
is 6
it 1
just 1
knight 1
life 1
lightning 1
likes 1
loses 1
lucius 11
make 1
man 1
many 1
married 1
may 1
mccaslin 1
mccaslinedmonds 1
meets 1
memphis 4
miss 3
money 1
moses 1
much 1
named 4
ned 9
nephew 1
news 1
no 2
not 1
novel 1
of 13
older 1
on 1
one 1
order 1
other 1
out 1
owner 1
part 1
place 1
plot 1
poor 1
priest 1
priests 1
prostitute 1
race 5
racehorse 1
reach 1
reality 1
reconcile 1
reiver 1
reivers 1
reives 1
relative 1
remainder 1
respects 1
returns 1
rich 1
rides 1
run 1
sardine 2
see 1
she 2
sheltered 1
shows 1
since 1
so 2
society 1
soon 1
stable 1
stables 1
stand 1
stay 1
steals 2
story 2
stowed 1
takes 1
than 1
that 3
the 31
their 1
them 2
thereby 1
they 3
this 3
time 2
times 1
to 15
touched 1
town 1
traded 1
trick 1
trip 1
trying 1
underside 1
up 2
vision 1
way 1
wealthy 1
what 1
when 2
where 1
while 1
white 2
who 4
willingness 1
win 3
with 8
woman 1
women 1
woo 1
works 1
worst 1
wrote 1
years 1
yoknapatawpha 1
young 2
