5163341
/m/0d5r50
/m/0d5r50
Eric Flint
2006-09-26
{"/m/0mz2": "Alternate history", "/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction", "/m/02p0szs": "Historical fiction", "/m/02xlf": "Fiction"}
1634 1
a 4
acquiring 1
actions 2
adolphus 1
affair 1
after 2
against 1
agent 1
aid 1
allies 3
also 1
american 1
americans 2
an 1
and 9
antipope 1
antonio 1
as 1
assassination 1
attempted 2
authority 1
banned 1
barberini 1
been 3
being 2
borja 4
briefly 1
by 2
cardinal 3
cardinalnephew 1
caused 1
city 1
coup 1
critical 1
cultivated 1
de 1
death 1
deaths 1
declared 1
discrediting 1
duck 1
earned 1
efforts 1
element 1
embassy 1
enemy 1
escaped 1
europe 1
events 1
exceeds 1
failed 1
following 1
fortunately 1
francisco 1
from 4
galilei 1
galileo 3
gaspar 1
gustavus 1
had 3
having 1
help 1
her 1
him 2
his 6
historical 1
holy 1
however 1
in 3
inactions 1
including 1
into 1
is 1
its 1
iv 1
king 1
lame 1
larry 1
leading 1
living 1
loudly 1
mazzare 1
mercenary 1
military 1
new 1
now 1
of 13
only 1
or 1
orchestrating 1
ordered 1
orders 1
outskirts 1
over 1
overthrow 1
pardon 1
philip 1
political 1
pope 4
provocateur 1
puppet 1
quevedo 1
recognizing 1
regard 1
relations 1
replace 1
returned 1
roman 1
rome 3
satellites 1
saved 1
scorn 1
second 1
see 1
spain 3
spanish 2
states 1
stir 1
subsequent 1
support 1
the 19
their 1
these 1
though 1
to 7
trouble 1
turning 1
united 1
up 1
urban 8
use 1
vatican 1
velasco 1
viii 1
villega 1
war 1
which 1
who 1
with 6
within 1
won 1
y 2
