23248451
/m/065zs0b
/m/065zs0b
Desmond Bagley
1975
{"/m/01jfsb": "Thriller", "/m/05hgj": "Novel"}
12 1
13 1
130s 1
16 1
35 1
50 1
a 14
about 4
accident 1
actually 1
ad 1
after 3
afterwards 1
age 2
aggressively 1
aka 1
alec 1
alecs 1
all 1
alone 1
along 1
also 2
alternating 1
although 1
an 6
and 29
antarctica 1
anything 1
apart 1
are 3
around 3
arrested 1
arrived 2
arrives 1
as 6
at 7
authorities 1
avalanche 12
ballard 5
bare 1
barely 1
based 1
been 1
before 1
begin 1
behaviour 1
being 1
believe 2
ben 6
between 1
big 1
bigger 1
blocked 1
born 1
both 1
boy 1
brother 2
brothers 2
by 9
called 1
cause 1
changed 1
charges 1
charlie 4
charlies 2
christchurch 1
completely 1
concludes 1
confronted 1
continued 1
control 1
controlled 2
convey 1
council 2
courtroom 2
cover 1
covered 1
cut 2
danger 3
death 2
deaths 1
december 3
decides 1
decline 1
deliberately 1
destroy 1
destroyed 1
develops 1
die 1
died 2
director 1
discovers 1
distrust 2
drowned 1
due 2
during 6
education 1
electricity 1
end 1
enmity 1
eric 2
even 1
events 1
eventually 1
evidence 1
experience 1
expert 1
explanations 1
extract 1
extremely 1
faces 1
fallen 1
father 4
fathers 1
feels 1
financial 1
finding 1
flashback 1
for 4
format 1
four 1
friend 1
from 4
gets 1
giant 1
go 1
gold 3
government 2
grandfather 2
grandson 1
group 2
grown 2
had 11
hand 1
have 1
he 12
hearings 1
held 1
her 1
him 5
himself 1
hinged 1
his 13
history 1
hits 1
holdings 3
home 1
hotel 1
however 1
huka 10
hukahoronui 1
ian 18
ians 5
immediately 1
imminent 2
in 35
including 2
indirectly 1
influential 1
initial 1
injured 1
injures 1
innocent 1
inquiry 3
into 1
invites 1
is 22
island 1
it 1
job 1
john 3
july 1
june 1
junejuly 1
keeping 1
last 1
late 1
later 1
lay 1
learns 1
left 2
leg 1
limited 1
linked 1
little 1
live 1
liz 1
local 1
located 2
london 2
lot 1
makes 1
making 2
management 1
manager 1
managing 1
marries 1
mcgill 6
mike 2
mind 1
mine 5
mining 1
minor 1
mobilise 1
moreover 1
mother 1
mothers 1
motive 1
mountain 3
near 1
nearby 1
new 2
news 1
noticed 1
now 2
occurred 1
of 21
off 2
offer 2
offers 1
old 3
on 1
once 1
onwards 1
operations 1
outside 2
own 1
owner 1
people 2
person 1
peterson 6
petersons 2
place 4
planning 1
point 1
preparations 1
prepare 1
present 1
presented 2
proceedings 1
profit 1
protagonist 1
quite 1
reaction 1
real 1
reality 1
recall 1
receives 1
recuperating 1
refuse 1
resources 1
responsible 1
result 1
revealed 1
revenge 1
revolves 1
rich 1
river 1
riverside 1
road 1
romantically 1
same 2
samples 1
settle 1
several 2
she 1
shortly 1
shows 1
since 2
sister 1
skiing 2
slopes 3
small 2
snow 4
some 1
sons 1
soon 3
south 1
specialising 1
spite 1
start 2
started 1
story 5
stripped 1
study 1
supermarket 1
supported 1
surprising 1
switzerland 1
take 2
takes 1
telephone 1
tell 1
that 11
the 61
their 1
them 3
there 1
these 2
they 1
things 1
this 9
though 1
through 1
time 3
to 18
told 2
too 1
took 1
top 1
town 12
trapped 1
tree 1
tries 1
twin 1
until 1
up 2
very 5
visit 1
visited 2
was 7
were 1
what 1
when 4
which 4
while 3
who 8
whole 1
wires 1
with 5
witnesses 1
witnessing 1
works 1
world 1
worried 1
year 2
years 3
zealand 2
