9187725
/m/027_m_6
/m/027_m_6
Patricia McCormick
2000-10
{"/m/0dwly": "Children's literature", "/m/03mfnf": "Young adult literature", "/m/02xlf": "Fiction"}
after 1
amanda 1
and 4
anybody 1
as 1
at 3
becca 1
becomes 1
begin 1
behavior 1
better 1
callie 5
claire 1
confronting 1
cuts 1
debbie 1
discovering 1
doctor 1
does 2
even 1
facility 1
family 1
fifteenyearold 1
gets 1
guests 1
help 1
helps 1
her 9
herself 1
involved 1
isnt 1
learn 1
loving 1
minds 1
nicknamed 1
not 1
of 2
only 1
other 1
parents 1
pines 1
pinesfinding 1
point 1
reluctantly 1
residential 1
roommate 1
sea 2
selfharms 1
selfmutilates 1
sent 1
she 5
sick 1
some 1
speaking 2
story 1
support 1
sydney 1
tara 1
that 2
the 5
therapist 1
therapistdoctor 1
tiffany 1
to 3
trauma 1
treatment 1
triggered 1
understand 1
unfolds 1
voice 1
where 1
why 2
with 3
