13502201
/m/03c7g10
/m/03c7g10
Sonya Hartnett
2000-08-31
a 20
about 7
above 1
admired 1
adolescent 1
after 3
afterward 1
agreed 1
agrees 1
all 4
along 1
also 1
an 2
and 74
animals 1
anyone 2
apologizes 2
are 1
arent 2
argue 1
argues 2
arguing 1
around 2
as 1
asking 1
asks 3
at 6
audrey 21
australia 1
away 7
baby 2
back 7
be 3
beach 1
because 3
beehive 1
been 3
begins 1
begs 1
behind 1
believe 1
birth 1
bit 1
biting 1
book 2
born 1
box 1
boy 3
bring 1
brother 2
bug 1
build 2
bursts 1
but 17
buy 3
by 5
cable 16
caffy 7
calls 2
can 3
cant 2
care 1
catches 1
champion 1
charges 1
chase 1
chickens 2
child 2
chunk 1
clean 2
clothes 1
collapses 1
come 3
comes 5
complaining 1
complains 1
considered 1
cows 2
crawling 1
creek 2
cries 1
crush 1
crying 4
curious 1
da 28
dad 1
dance 1
dare 2
day 6
days 1
death 1
decided 1
decides 5
defend 1
depression 1
devon 13
didnt 1
dies 2
dig 1
digging 6
dirt 1
disgust 1
distressed 1
do 1
does 1
doesnt 7
doing 1
done 1
dont 1
door 1
dream 2
dug 3
during 1
earth 1
eating 2
eleven 1
enough 1
even 2
event 1
eventually 1
everyone 2
eyes 1
face 1
falls 2
fame 1
family 7
far 1
farm 2
farther 1
father 1
fault 2
feels 2
feet 1
felt 1
fences 2
few 2
fights 1
find 6
finds 4
fingernails 1
first 2
fish 1
flesh 1
flute 3
folds 1
follows 1
for 11
free 1
friend 1
from 5
front 1
get 5
gets 3
girl 1
give 1
given 1
gives 2
glow 1
go 5
goes 3
going 4
gold 2
gone 1
got 2
grandpa 1
growing 1
guesses 1
had 7
hair 1
happy 1
harper 29
has 3
have 3
he 32
hearing 1
heart 1
help 1
helps 1
her 19
him 20
hinted 1
his 19
home 7
honey 1
hour 1
house 8
housekeeper 2
hover 1
how 15
i 4
if 3
ignores 1
illuminating 1
in 13
infant 1
inside 2
instruction 1
into 4
is 20
it 14
ithe 1
izzy 6
just 4
keeps 3
killed 1
know 1
labor 1
last 1
later 2
leaves 2
leaving 1
let 1
letting 1
life 1
like 5
little 2
living 1
lock 1
looked 4
looking 1
lousy 1
loved 1
loves 1
made 1
mam 17
man 1
married 1
marry 1
me 3
mind 1
mine 1
mining 1
misery 1
miss 1
misses 7
money 1
month 1
months 1
more 1
morning 1
most 3
mother 2
move 1
moved 2
moves 1
mr 17
mrcable 1
mrs 1
much 1
mud 1
murphy 2
mythical 1
named 3
near 1
neatly 1
need 2
needs 1
neighbor 1
neighbors 1
never 2
new 4
next 4
no 2
not 7
notes 5
nothing 3
notices 3
now 1
of 15
off 1
offered 1
old 1
older 2
on 9
one 8
only 1
opened 1
optimistic 1
out 14
outside 1
over 3
own 1
paid 1
parade 1
parents 1
part 1
past 1
penny 1
people 3
pet 1
pets 1
place 1
pony 4
poor 2
pregnant 1
proclaims 1
put 1
puts 1
quote 1
rabbit 1
rage 1
rags 3
ran 2
raped 1
rebuilds 1
rebuilt 1
remarks 1
reminds 1
rifle 1
room 1
rubs 1
ruined 1
run 1
runs 2
sacrifice 1
sadly 1
said 2
salesmen 2
save 1
say 1
saying 4
says 4
school 2
scolds 1
screams 2
search 1
searching 1
see 4
seemed 1
seen 1
sees 3
sent 2
settled 1
seventeen 1
shake 1
she 41
shell 1
should 1
sick 1
sighs 1
sister 1
skin 2
slams 1
slap 1
slaps 1
slightly 1
small 1
smiled 1
so 11
soak 1
some 1
somehow 1
something 2
soon 3
sooner 1
sorry 1
sows 1
special 1
spends 2
start 2
starts 10
stay 1
still 1
stolen 2
stop 2
strongly 1
suddenly 2
suffer 1
suggests 1
supports 1
supposed 1
surprised 1
sweetheart 1
take 2
takes 1
talk 5
talking 1
tell 3
tells 6
ten 1
thanks 1
that 31
the 45
their 5
them 4
then 7
there 3
they 9
theyll 1
things 1
thinking 1
thinks 1
this 6
though 1
thursday 2
time 1
tin 29
to 67
told 1
town 3
travel 1
tries 5
try 2
tunnels 5
turned 1
two 1
under 1
up 1
upset 6
us 1
vanished 1
very 4
wages 1
walks 1
want 1
wanted 3
wants 4
war 2
was 9
watching 1
way 2
we 2
week 3
well 1
went 2
were 2
what 6
when 4
while 4
who 4
whole 1
whom 2
why 1
will 1
willing 1
wings 1
with 4
without 1
wonders 1
wont 2
work 4
worried 2
worrying 1
worse 1
would 2
wounded 1
wounds 1
year 2
yes 3
you 5
your 2
