16252029
/m/03wf2cv
/m/03wf2cv
Sue Grafton
1989
17 1
5 1
a 10
absence 1
accidentally 2
accomplice 1
acquaints 1
administered 1
affair 1
after 2
afterwards 1
alcohol 1
allowing 1
along 1
also 2
although 1
an 2
and 20
ann 11
anonymous 1
anyone 2
apartment 1
apparently 1
are 1
armed 1
around 1
arraignment 1
arrested 1
as 6
assumed 1
at 11
away 1
back 1
badly 1
bailey 10
barowner 1
be 2
beach 4
because 1
been 5
before 3
being 2
between 1
body 1
boys 1
broken 1
brother 1
but 5
by 5
california 1
calls 2
can 1
cancer 1
care 1
case 2
causing 1
child 4
circumstances 1
citizen 1
claiming 1
cleared 1
clemson 1
cold 1
comes 1
community 1
concrete 1
confesses 1
confided 1
confirmation 1
contact 1
convinced 1
cooperative 1
cops 1
could 2
counsellor 2
daughter 1
death 2
delve 1
destroyed 1
details 1
devoted 1
diabetes 1
died 1
discredited 1
do 1
doctor 1
doing 1
dr 2
dunne 2
dwight 8
dying 1
e 1
elva 1
encounters 1
end 1
ends 1
engaged 1
ensure 1
equally 1
escape 1
escaped 1
establishes 1
eventually 2
everyone 2
evidence 5
exonerate 1
eyebrows 1
family 1
fanatically 1
father 4
favoured 1
fills 1
finally 1
finds 3
first 1
floral 4
foot 1
for 5
fowler 3
friedship 1
friendship 1
from 6
garage 1
gets 1
girlfriend 1
granger 2
guilty 1
gun 2
had 2
happy 1
has 4
hasten 1
have 1
having 3
haws 1
he 2
heads 1
help 1
henry 1
her 17
herself 2
high 2
him 2
himself 1
hired 1
his 5
holdup 2
home 1
identify 1
in 12
inherit 1
innocence 1
insufficient 1
insulin 1
interrupted 1
into 4
is 18
it 3
jack 1
jealous 3
jealousy 1
jean 10
job 1
just 1
keep 2
kill 1
killed 3
killer 2
killing 1
kinsey 9
knows 1
lawyer 1
leave 1
less 1
life 1
link 1
living 1
local 7
locals 1
longstanding 1
made 1
marriage 1
men 1
middle 1
model 1
money 1
more 1
motel 2
mother 2
motivated 1
murder 3
murdered 2
murders 1
name 1
night 1
nobody 1
novel 1
number 1
numerous 1
objection 1
of 22
offers 1
on 2
once 1
ori 2
oribelle 1
out 3
paid 1
parents 2
past 1
pastor 1
pearl 1
phone 1
pitts 1
plan 2
pleaded 1
position 1
post 1
pregnant 1
principal 1
prison 1
probably 1
problem 1
problems 1
process 2
prove 1
provide 1
providing 1
pursue 1
pursues 1
pursuit 1
put 1
questioned 1
raised 1
rap 1
realised 1
rebuilt 1
recaptured 1
receives 1
refuge 1
refuses 1
regularly 1
rendezvous 1
reverend 1
robberies 1
room 2
royce 3
running 1
school 5
searches 1
see 1
seeks 1
seems 2
sends 1
senior 1
series 1
sets 1
seventeen 1
several 1
sexual 1
shales 2
shana 4
she 13
shell 1
shooting 1
shotgun 1
sick 1
single 1
sixth 1
some 2
someone 1
sometime 1
son 2
soon 1
spot 1
stages 1
stays 1
struggling 1
sufficient 1
supplied 1
take 1
taken 1
tampered 1
tap 5
tearaway 1
teen 1
tempt 1
that 9
the 50
their 3
there 1
threatening 1
timberlake 1
time 4
tiny 1
to 21
too 1
trail 1
truth 1
turns 2
two 1
unattractive 1
under 1
unfortunately 1
unknown 1
up 1
use 1
violent 1
waiting 1
wants 2
was 12
well 1
when 3
whether 1
while 1
who 9
whom 1
whose 3
widow 1
wife 3
with 14
wonders 1
wrestles 1
years 3
