7483462
/m/02633cq
/m/02633cq
Minfong Ho
1975
a 5
and 5
at 1
between 1
brother 1
by 1
capable 1
causing 1
city 2
dawan 3
entails 1
eventually 1
every 1
exacerbated 1
faces 1
father 1
feels 1
female 1
for 1
fully 1
further 1
girl 1
handling 1
her 1
herself 1
hostility 1
in 2
initially 1
is 4
it 1
jealous 1
kwai 1
lives 1
no 1
obstacles 2
of 1
others 1
overcomes 1
place 1
places 1
previouslyclose 1
proves 1
responsibility 1
rift 1
scholarship 2
school 1
second 1
she 1
siblings 1
study 1
thailand 1
that 2
the 4
these 1
this 1
to 3
turn 1
two 1
village 1
who 2
wins 1
young 1
